Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
3597, 0.36, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 392.40, 152.94, -194.84, 19.48, 0
3191, 0.32, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 392.40, 161.15, -212.81, 21.28, 0
2848, 0.28, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 392.40, 169.44, -231.91, 23.19, 0
2556, 0.26, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 392.40, 177.93, -252.17, 25.22, 0
2305, 0.23, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 392.39, 186.47, -273.49, 27.35, 0
2089, 0.21, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 392.40, 195.36, -296.11, 29.61, 0
1901, 0.19, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, 392.40, 204.32, -319.82, 31.98, 0
1736, 0.17, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, 392.39, 213.22, -344.55, 34.46, 0
73798, 7.38, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -66.42, 76.54, 1.53, 0
72351, 7.24, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, 57.76, 52.01, 1.04, 0
62182, 6.22, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, 26.33, 25.67, 0.51, 0
53500, 5.35, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.40, 13.78, 17.05, 0.34, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.95, -0.05, -0.00, 9.00, 0.00, 2.30, 0.91, -6.70, 0.91, 395.16, -2.97, 7.00, 0.14, 0
2000000, 200.00, 40.00, -4.00, 0.00, 2.15, 0.13, -0.00, 11.00, 0.00, -5.53, -3.61, -16.53, -3.61, 364.48, 33.35, 43.86, 0.88, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.51, 0.11, -0.00, 13.00, 0.00, -5.50, 0.34, -18.50, 0.34, 349.22, 43.26, 52.45, 1.05, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.51, -0.02, -0.00, 15.00, 0.00, 1.10, -0.07, -13.90, -0.07, 372.64, 19.80, 29.60, 0.59, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.53, 0.01, -0.00, 17.00, 0.00, -0.45, 0.02, -17.45, 0.02, 355.61, 36.82, 46.62, 0.93, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.54, 0.00, -0.00, 19.00, 0.00, -0.23, 0.01, -19.23, 0.01, 345.59, 46.83, 56.63, 1.13, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.54, -0.00, -0.00, 21.00, 0.00, 0.01, -0.00, -20.99, -0.00, 334.75, 57.67, 67.46, 1.35, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, -0.00, 23.00, 0.00, 0.09, -0.00, -22.91, -0.00, 321.87, 70.55, 80.34, 1.61, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, -0.00, 25.00, 0.00, 0.02, -0.00, -24.98, -0.00, 306.67, 85.75, 95.54, 1.91, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 27.00, 0.00, -0.03, 0.00, -27.03, 0.00, 290.35, 102.07, 111.86, 2.24, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, 0.00, 29.00, 0.00, 0.00, -0.00, -29.00, -0.00, 273.51, 118.91, 128.76, 2.58, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, -0.00, 31.00, 0.00, 0.01, -0.00, -30.99, -0.00, 255.07, 137.36, 147.09, 2.94, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 33.00, 0.00, -0.00, 0.00, -33.00, 0.00, 235.46, 156.97, 166.80, 3.34, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, -0.00, 35.00, 0.00, 0.00, -0.00, -35.00, -0.00, 214.60, 177.84, 187.56, 3.75, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, 0.00, 37.00, 0.00, 0.00, -0.00, -37.00, -0.00, 192.55, 199.90, 209.62, 4.19, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 39.00, 0.00, -0.00, 0.00, -39.00, 0.00, 169.34, 223.11, 232.91, 4.66, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, -0.00, 0.00, 41.00, 0.00, 0.00, -0.00, -41.00, -0.00, 144.78, 247.67, 257.40, 5.15, 1
48599, 4.86, 40.00, -2.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -75.52, 78.55, 1.96, 0
77287, 7.73, 40.00, -2.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -13.55, 17.20, 0.43, 0
2000000, 200.00, 40.00, -2.00, 0.00, 1.16, 0.56, 4.41, 5.00, 0.00, -21.04, 11.20, -26.04, 11.20, -62.34, 496.81, 492.01, 12.30, 0
2000000, 200.00, 40.00, -2.00, 0.00, 1.53, -0.00, -0.00, 7.00, 0.00, 0.09, -0.00, -6.91, -0.00, 373.00, 19.42, 29.21, 0.73, 0
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, -0.00, 0.00, 9.00, 0.00, 0.00, -0.00, -9.00, -0.00, 352.60, 39.82, 49.61, 1.24, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, -0.00, 11.00, 0.00, -0.00, 0.00, -11.00, 0.00, 328.10, 64.33, 74.11, 1.85, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, -0.00, 13.00, 0.00, -0.00, 0.00, -13.00, 0.00, 298.70, 93.74, 103.51, 2.59, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 264.47, 127.98, 137.81, 3.45, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 225.26, 167.20, 177.01, 4.43, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 181.15, 211.32, 221.11, 5.53, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, -0.00, -0.00, 21.00, 0.00, 0.00, -0.00, -21.00, -0.00, 132.07, 260.42, 270.11, 6.75, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 78.22, 314.28, 324.01, 8.10, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.14, 25.00, 0.00, 0.13, 0.00, -24.87, 0.00, 23.46, 369.06, 378.75, 9.47, 0
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, -44.31, 436.85, 446.51, 11.16, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, -112.86, 505.43, 515.11, 12.88, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, -0.00, -0.00, 31.00, 0.00, 0.00, -0.00, -31.00, -0.00, -186.44, 579.03, 588.61, 14.72, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, -264.72, 657.33, 667.01, 16.68, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, -348.00, 740.64, 750.31, 18.76, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, -436.18, 828.84, 838.51, 20.96, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, -0.00, -0.00, 39.00, 0.00, 0.00, -0.00, -39.00, -0.00, -529.52, 922.21, 931.61, 23.29, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, -0.00, -0.00, 41.00, 0.00, 0.00, -0.00, -41.00, -0.00, -627.54, 1020.27, 1029.61, 25.74, 1
32040, 3.20, 40.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -54.44, 56.23, 1.61, 0
123343, 12.33, 40.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -1.47, 9.96, 0.28, 0
2000000, 200.00, 40.00, 0.00, 0.00, 1.53, -0.00, 0.00, 5.00, 0.00, 0.00, -0.00, -5.00, -0.00, 375.45, 16.97, 26.76, 0.76, 0
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, -0.00, 7.00, 0.00, -0.00, 0.00, -7.00, 0.00, 349.69, 42.74, 52.52, 1.50, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, 0.00, 9.00, 0.00, 0.00, -0.00, -9.00, -0.00, 315.39, 77.05, 86.82, 2.48, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, -0.00, 11.00, 0.00, 0.00, -0.00, -11.00, -0.00, 272.43, 120.03, 129.70, 3.71, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 221.13, 171.34, 181.15, 5.18, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 161.09, 231.41, 241.17, 6.89, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 92.42, 300.11, 309.77, 8.85, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, 0.29, 19.00, 0.00, 0.29, -0.00, -18.71, -0.00, 26.81, 365.74, 375.40, 10.73, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, -0.00, 21.00, 0.00, 0.00, -0.00, -21.00, -0.00, -70.50, 463.09, 472.70, 13.51, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, -164.85, 557.48, 567.02, 16.20, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, -0.00, 25.00, 0.00, 0.00, -0.00, -25.00, -0.00, -267.77, 660.45, 669.92, 19.14, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, -0.00, 27.00, 0.00, 0.00, -0.00, -27.00, -0.00, -379.28, 772.00, 781.39, 22.33, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, -0.00, 29.00, 0.00, 0.00, -0.00, -29.00, -0.00, -499.36, 892.13, 901.44, 25.76, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, -627.65, 1020.48, 1030.07, 29.43, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, -764.81, 1157.69, 1167.27, 33.35, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, -0.00, 35.00, 0.00, 0.00, -0.00, -35.00, -0.00, -911.06, 1304.00, 1313.04, 37.52, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, -0.00, 37.00, 0.00, 0.00, -0.00, -37.00, -0.00, -1065.45, 1458.46, 1467.39, 41.93, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, -0.00, -0.00, 39.00, 0.00, 0.00, -0.00, -39.00, -0.00, -1228.42, 1621.49, 1630.31, 46.58, 1
2000000, 200.00, 40.00, 0.00, 0.00, 1.54, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, -1399.16, 1792.30, 1801.81, 51.48, 1
28016, 2.80, 40.00, 2.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -41.74, 43.39, 1.93, 0
2000000, 200.00, 40.00, 2.00, 0.00, 1.63, -0.01, 0.00, 3.00, 0.00, 0.56, 0.03, -2.44, 0.03, 393.99, -1.60, 8.24, 0.37, 0
2000000, 200.00, 40.00, 2.00, 0.00, 1.51, 0.00, -0.00, 5.00, 0.00, -0.00, 0.00, -5.00, 0.00, 367.76, 24.69, 34.45, 1.53, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, -0.00, 7.00, 0.00, -0.00, 0.00, -7.00, 0.00, 334.68, 57.80, 67.53, 3.00, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 290.58, 101.94, 111.63, 4.96, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 235.58, 157.00, 166.75, 7.41, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 169.40, 223.24, 232.90, 10.35, 1
