Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
3597, 0.36, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 392.40, 152.97, -194.86, 19.49, 0
3191, 0.32, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 392.40, 161.18, -212.83, 21.28, 0
2848, 0.28, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 392.40, 169.47, -231.93, 23.19, 0
2556, 0.26, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 392.40, 177.96, -252.19, 25.22, 0
2305, 0.23, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 392.39, 186.50, -273.51, 27.35, 0
2089, 0.21, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 392.40, 195.38, -296.13, 29.61, 0
1901, 0.19, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, 392.40, 204.35, -319.84, 31.98, 0
1736, 0.17, 40.00, -6.00, 0.00, 0.00, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, 392.39, 213.25, -344.57, 34.46, 0
73823, 7.38, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -66.42, 76.54, 1.53, 0
72342, 7.23, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, 57.79, 52.03, 1.04, 0
62202, 6.22, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, 26.33, 25.66, 0.51, 0
53579, 5.36, 40.00, -4.00, 0.00, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.40, 13.73, 17.01, 0.34, 0
2000000, 200.00, 40.00, -4.00, 0.00, 1.96, 0.00, -0.00, 9.00, 0.00, 2.30, 0.93, -6.70, 0.93, 395.15, -2.97, 7.01, 0.14, 0
2000000, 200.00, 40.00, -4.00, 0.00, 2.15, 0.00, 0.00, 11.00, 0.00, -5.11, -3.36, -16.11, -3.36, 366.64, 30.82, 41.47, 0.83, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.52, 0.00, -0.00, 13.00, 0.00, -5.47, 0.30, -18.47, 0.30, 349.39, 43.07, 52.27, 1.05, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.51, 0.00, -0.00, 15.00, 0.00, 1.08, -0.07, -13.92, -0.07, 372.57, 19.88, 29.67, 0.59, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.53, 0.00, -0.00, 17.00, 0.00, -0.45, 0.02, -17.45, 0.02, 355.61, 36.82, 46.62, 0.93, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.54, 0.00, 0.00, 19.00, 0.00, -0.23, 0.01, -19.23, 0.01, 345.60, 46.83, 56.62, 1.13, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.54, 0.00, -0.00, 21.00, 0.00, 0.01, -0.00, -20.99, -0.00, 334.76, 57.67, 67.46, 1.35, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 23.00, 0.00, 0.09, -0.00, -22.91, -0.00, 321.87, 70.55, 80.34, 1.61, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 25.00, 0.00, 0.02, -0.00, -24.98, -0.00, 306.67, 85.75, 95.54, 1.91, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 27.00, 0.00, -0.03, -0.00, -27.03, -0.00, 290.35, 102.07, 111.86, 2.24, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 29.00, 0.00, 0.00, -0.00, -29.00, -0.00, 273.45, 118.97, 128.76, 2.58, 1
