episode,epsilon,Alpha,steps,return
132,0.900000,0.001000,1000001,241.909092
133,0.900000,0.001000,1000001,214.519185
134,0.900000,0.001000,1000001,197.654298
135,0.900000,0.001000,1000001,211.199956
136,0.900000,0.001000,1000001,215.068793
137,0.900000,0.001000,1000001,238.109870
138,0.900000,0.001000,1000001,237.592300
139,0.900000,0.001000,1000001,131.727095
140,0.900000,0.001000,1000001,219.712992
141,0.900000,0.001000,1000001,181.453765
142,0.900000,0.001000,1000001,237.010460
143,0.900000,0.001000,1000001,130.770064
144,0.900000,0.001000,1000001,179.478367
145,0.900000,0.001000,1000001,239.278665
146,0.900000,0.001000,1000001,180.458455
147,0.900000,0.001000,1000001,85.541476
148,0.900000,0.001000,1000001,175.235918
149,0.900000,0.001000,1000001,175.846501
150,0.900000,0.001000,1000001,184.289340
151,0.900000,0.001000,1000001,131.155661
152,0.900000,0.001000,1000001,183.412607
153,0.900000,0.001000,1000001,131.924640
154,0.900000,0.001000,1000001,178.433429
155,0.900000,0.001000,1000001,181.436021
156,0.900000,0.001000,1000001,178.855998
157,0.900000,0.001000,1000001,182.837967
158,0.900000,0.001000,1000001,180.363381
159,0.900000,0.001000,1000001,178.378482
160,0.900000,0.001000,1000001,179.422506
161,0.900000,0.001000,1000001,107.315688
162,0.900000,0.001000,1000001,105.843140
163,0.900000,0.001000,1000001,86.786814
164,0.900000,0.001000,1000001,85.139847
165,0.900000,0.001000,1000001,85.421085
166,0.900000,0.001000,1000001,82.787204
167,0.900000,0.001000,1000001,85.127737
168,0.900000,0.001000,1000001,87.550242
169,0.900000,0.001000,1000001,83.243037
170,0.900000,0.001000,1000001,85.666332
171,0.900000,0.001000,1000001,86.633169
172,0.900000,0.001000,1000001,82.636409
173,0.900000,0.001000,1000001,85.256107
174,0.900000,0.001000,1000001,85.460702
175,0.900000,0.001000,1000001,87.123979
176,0.900000,0.001000,1000001,104.295036
177,0.900000,0.001000,1000001,86.028770
178,0.900000,0.001000,1000001,108.067837
179,0.900000,0.001000,1000001,133.901753
180,0.900000,0.001000,1000001,181.832461
181,0.900000,0.001000,1000001,245.311975
182,0.900000,0.001000,1000001,242.069352
183,0.900000,0.001000,1000001,138.783799
184,0.900000,0.001000,1000001,182.449502
185,0.900000,0.001000,1000001,236.622999
186,0.900000,0.001000,1000001,235.069982
187,0.900000,0.001000,1000001,183.529533
188,0.900000,0.001000,1000001,109.267283
189,0.900000,0.001000,1000001,85.080187
190,0.900000,0.001000,1000001,104.887684
191,0.900000,0.001000,1000001,86.365745
192,0.900000,0.001000,1000001,85.550536
193,0.900000,0.001000,1000001,74.410213
194,0.900000,0.001000,1000001,75.632432
195,0.900000,0.001000,1000001,83.172581
196,0.900000,0.001000,1000001,81.552347
197,0.900000,0.001000,1000001,75.590758
198,0.900000,0.001000,1000001,80.468123
199,0.900000,0.001000,1000001,83.452430
200,0.900000,0.001000,1000001,83.162109
201,0.900000,0.001000,1000001,86.555064
202,0.900000,0.001000,1000001,114.000882
203,0.900000,0.001000,1000001,87.234234
204,0.900000,0.001000,1000001,202.108021
205,0.900000,0.001000,1000001,105.931694
206,0.900000,0.001000,1000001,137.950851
207,0.900000,0.001000,1000001,182.333868
208,0.900000,0.001000,1000001,222.263910
209,0.900000,0.001000,1000001,222.536997
210,0.900000,0.001000,1000001,221.773325
211,0.900000,0.001000,1000001,238.792658
212,0.900000,0.001000,1000001,235.880682
213,0.900000,0.001000,1000001,234.836251
214,0.900000,0.001000,1000001,225.490861
215,0.900000,0.001000,1000001,236.243058
216,0.900000,0.001000,1000001,231.466517
217,0.900000,0.001000,1000001,132.363629
218,0.900000,0.001000,1000001,224.509719
219,0.900000,0.001000,1000001,223.715552
220,0.900000,0.001000,1000001,134.045611
221,0.900000,0.001000,1000001,224.796117
222,0.900000,0.001000,1000001,230.165211
223,0.900000,0.001000,1000001,231.982455
224,0.900000,0.001000,1000001,232.280527
225,0.900000,0.001000,1000001,132.892131
226,0.900000,0.001000,1000001,223.844105
227,0.900000,0.001000,1000001,242.172590
228,0.900000,0.001000,1000001,236.858485
229,0.900000,0.001000,1000001,229.140830
230,0.900000,0.001000,1000001,236.243096
231,0.900000,0.001000,1000001,235.597773
232,0.900000,0.001000,1000001,237.273945
233,0.900000,0.001000,1000001,235.279681
234,0.900000,0.001000,1000001,242.490928
235,0.900000,0.001000,1000001,178.739875
236,0.900000,0.001000,1000001,138.740019
237,0.900000,0.001000,1000001,106.053145
238,0.900000,0.001000,1000001,108.976887
239,0.900000,0.001000,1000001,140.297670
240,0.900000,0.001000,1000001,131.713913
241,0.900000,0.001000,1000001,180.932909
242,0.900000,0.001000,1000001,133.092609
243,0.900000,0.001000,1000001,115.961041
244,0.900000,0.001000,1000001,207.675153
245,0.900000,0.001000,1000001,225.520002
246,0.900000,0.001000,1000001,215.844128
247,0.900000,0.001000,1000001,209.311485
248,0.900000,0.001000,1000001,211.452222
249,0.900000,0.001000,1000001,206.620033
250,0.900000,0.001000,1000001,228.615762
251,0.900000,0.001000,1000001,224.341435
252,0.900000,0.001000,1000001,222.456452
253,0.900000,0.001000,1000001,208.452703
254,0.900000,0.001000,1000001,222.913424
255,0.900000,0.001000,1000001,202.516223
256,0.900000,0.001000,1000001,220.985719
257,0.900000,0.001000,1000001,217.028401
258,0.900000,0.001000,1000001,213.798013
259,0.900000,0.001000,1000001,217.973555
260,0.900000,0.001000,1000001,237.248993
261,0.900000,0.001000,1000001,216.210751
262,0.900000,0.001000,1000001,235.917374
263,0.900000,0.001000,1000001,136.130780
264,0.900000,0.001000,1000001,162.908132
265,0.900000,0.001000,1000001,220.929318
266,0.900000,0.001000,1000001,237.237813
267,0.900000,0.001000,1000001,213.978043
268,0.900000,0.001000,1000001,215.866518
269,0.900000,0.001000,1000001,194.159625
270,0.900000,0.001000,1000001,197.485923
271,0.900000,0.001000,1000001,216.031400
272,0.900000,0.001000,1000001,196.110883
273,0.900000,0.001000,1000001,216.472062
274,0.900000,0.001000,1000001,213.540025
275,0.900000,0.001000,1000001,218.139646
276,0.900000,0.001000,1000001,235.762592
277,0.900000,0.001000,1000001,238.187543
278,0.900000,0.001000,1000001,215.187213
279,0.900000,0.001000,1000001,219.236483
280,0.900000,0.001000,1000001,131.981875
281,0.900000,0.001000,1000001,238.727549
282,0.900000,0.001000,1000001,214.228308
283,0.900000,0.001000,1000001,202.703669
284,0.900000,0.001000,1000001,218.852730
285,0.900000,0.001000,1000001,201.727562
286,0.900000,0.001000,1000001,222.519138
287,0.900000,0.001000,1000001,200.214531
288,0.900000,0.001000,1000001,220.994246
289,0.900000,0.001000,1000001,236.440516
290,0.900000,0.001000,1000001,237.004023
291,0.900000,0.001000,1000001,237.396746
292,0.900000,0.001000,1000001,243.470885
293,0.900000,0.001000,1000001,237.701446
294,0.900000,0.001000,1000001,133.183340
295,0.900000,0.001000,1000001,239.685014
296,0.900000,0.001000,1000001,216.165560
297,0.900000,0.001000,1000001,200.742768
298,0.900000,0.001000,1000001,213.884183
299,0.900000,0.001000,1000001,236.617543
300,0.900000,0.001000,1000001,230.281679
301,0.900000,0.001000,1000001,136.991066
302,0.900000,0.001000,1000001,135.831524
303,0.900000,0.001000,1000001,220.555505
304,0.900000,0.001000,1000001,237.093357
305,0.900000,0.001000,1000001,226.597735
306,0.900000,0.001000,1000001,133.751289
307,0.900000,0.001000,1000001,237.671013
308,0.900000,0.001000,1000001,220.351755
309,0.900000,0.001000,1000001,162.947426
310,0.900000,0.001000,1000001,135.193494
311,0.900000,0.001000,1000001,135.368389
312,0.900000,0.001000,1000001,236.886535
313,0.900000,0.001000,1000001,236.453769
314,0.900000,0.001000,1000001,131.629362
315,0.900000,0.001000,1000001,163.633854
316,0.900000,0.001000,1000001,228.622660
317,0.900000,0.001000,1000001,235.839414
318,0.900000,0.001000,1000001,179.632511
319,0.900000,0.001000,1000001,137.767841
320,0.900000,0.001000,1000001,108.098665
321,0.900000,0.001000,1000001,135.239441
322,0.900000,0.001000,1000001,134.450332
323,0.900000,0.001000,1000001,227.880247
324,0.900000,0.001000,1000001,133.214422
325,0.900000,0.001000,1000001,136.305400
326,0.900000,0.001000,1000001,181.465722
327,0.900000,0.001000,1000001,108.920969
328,0.900000,0.001000,1000001,141.745707
329,0.900000,0.001000,1000001,114.454993
330,0.900000,0.001000,1000001,107.801707
331,0.900000,0.001000,1000001,106.432578
332,0.900000,0.001000,1000001,86.810491
333,0.900000,0.001000,1000001,109.321469
334,0.900000,0.001000,1000001,176.338871
335,0.900000,0.001000,1000001,237.048021
336,0.900000,0.001000,1000001,221.573761
337,0.900000,0.001000,1000001,222.934145
338,0.900000,0.001000,1000001,132.959047
339,0.900000,0.001000,1000001,131.150455
340,0.900000,0.001000,1000001,238.904288
341,0.900000,0.001000,1000001,236.315289
342,0.900000,0.001000,1000001,237.007123
343,0.900000,0.001000,1000001,243.416021
344,0.900000,0.001000,1000001,238.425176
345,0.900000,0.001000,1000001,238.710872
346,0.900000,0.001000,1000001,132.004189
347,0.900000,0.001000,1000001,157.844720
348,0.900000,0.001000,1000001,220.458768
349,0.900000,0.001000,1000001,219.513131
350,0.900000,0.001000,1000001,233.038142
351,0.900000,0.001000,1000001,190.297698
352,0.900000,0.001000,1000001,221.348285
353,0.900000,0.001000,1000001,132.387808
354,0.900000,0.001000,1000001,238.053026
355,0.900000,0.001000,1000001,224.292991
356,0.900000,0.001000,1000001,238.385888
357,0.900000,0.001000,1000001,243.906425
358,0.900000,0.001000,1000001,237.920975
359,0.900000,0.001000,1000001,234.889753
360,0.900000,0.001000,1000001,236.187090
361,0.900000,0.001000,1000001,238.108104
362,0.900000,0.001000,1000001,239.777299
363,0.900000,0.001000,1000001,242.716603
364,0.900000,0.001000,1000001,240.783836
365,0.900000,0.001000,1000001,240.078939
366,0.900000,0.001000,1000001,233.606824
367,0.900000,0.001000,1000001,237.678699
368,0.900000,0.001000,1000001,234.471325
369,0.900000,0.001000,1000001,234.345330
370,0.900000,0.001000,1000001,153.961105
371,0.900000,0.001000,1000001,233.099845
372,0.900000,0.001000,1000001,217.541891
373,0.900000,0.001000,1000001,211.046602
374,0.900000,0.001000,1000001,211.083938
375,0.900000,0.001000,1000001,215.867687
376,0.900000,0.001000,1000001,236.925778
377,0.900000,0.001000,1000001,239.417675
378,0.900000,0.001000,1000001,221.163683
379,0.900000,0.001000,1000001,219.341281
380,0.900000,0.001000,1000001,202.692259
381,0.900000,0.001000,1000001,223.025554
382,0.900000,0.001000,1000001,238.438163
383,0.900000,0.001000,1000001,134.936214
384,0.900000,0.001000,1000001,239.531133
385,0.900000,0.001000,1000001,222.726438
