step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
92000      18.000000     2     0.022030     244.697014     244.702557     244.751455
93000      19.000000     0     0.021638     244.702181     244.701324     244.593894
94000      18.000000     2     0.021243     244.697014     244.702557     244.751452
95000      19.000000     0     0.020848     244.702188     244.701324     244.593894
96000      18.000000     2     0.020450     244.697014     244.702557     244.751449
97000      19.000000     0     0.020051     244.702195     244.701324     244.593894
98000      18.000000     2     0.019649     244.697014     244.702557     244.751446
99000      19.000000     0     0.019248     244.702202     244.701324     244.593894
100000      18.000000     2     0.018843     244.697014     244.702557     244.751443
101000      19.000000     0     0.018439     244.702209     244.701324     244.593894
102000      18.000000     2     0.018032     244.697014     244.702557     244.751440
103000      19.000000     0     0.017626     244.702215     244.701324     244.593894
104000      18.000000     2     0.017217     244.697014     244.702557     244.751437
105000      19.000000     0     0.016810     244.702222     244.701324     244.593894
106000      18.000000     2     0.016399     244.697014     244.702557     244.751434
107000      19.000000     0     0.015992     244.702229     244.701324     244.593894
108000      18.000000     2     0.015581     244.697014     244.702557     244.751431
109000      19.000000     0     0.015173     244.702235     244.701324     244.593894
110000      18.000000     0     0.014762     244.697014     244.702557     244.751427
111000      16.000000     0     0.014355     244.688943     244.684947     244.691446
112000      14.000000     2     0.013955     244.631247     244.635975     244.684933
113000      16.000000     2     0.013547     244.688944     244.684947     244.691446
114000      18.000000     2     0.013137     244.697015     244.702557     244.751427
115000      19.000000     2     0.012731     244.702236     244.701324     244.593894
116000      20.000000     0     0.012335     244.664551     244.479843     0.000000
117000      19.000000     0     0.011930     244.702236     244.701324     244.593902
118000      18.000000     2     0.011524     244.697015     244.702557     244.751413
119000      19.000000     0     0.011122     244.702242     244.701324     244.593902
120000      18.000000     2     0.010719     244.697015     244.702557     244.751409
121000      19.000000     1     0.010320     244.702248     244.701324     244.593902
122000      19.000000     0     0.009924     244.702248     244.701325     244.593902
123000      18.000000     2     0.009527     244.697015     244.702557     244.751405
124000      19.000000     0     0.009135     244.702254     244.701325     244.593902
125000      18.000000     2     0.008744     244.697015     244.702557     244.751401
126000      19.000000     0     0.008358     244.702260     244.701325     244.593902
127000      18.000000     2     0.007973     244.697015     244.702557     244.751397
128000      19.000000     0     0.007592     244.702266     244.701325     244.593902
129000      18.000000     2     0.007214     244.697015     244.702557     244.751393
130000      19.000000     0     0.006840     244.702271     244.701325     244.593902
131000      18.000000     2     0.006469     244.697015     244.702557     244.751389
132000      19.000000     0     0.006102     244.702277     244.701325     244.593902
133000      18.000000     2     0.005740     244.697015     244.702557     244.751385
134000      19.000000     0     0.005382     244.702283     244.701325     244.593902
135000      18.000000     2     0.005030     244.697015     244.702557     244.751380
136000      19.000000     0     0.004681     244.702288     244.701325     244.593902
137000      18.000000     2     0.004339     244.697015     244.702557     244.751376
138000      19.000000     0     0.004001     244.702293     244.701325     244.593902
139000      18.000000     2     0.003672     244.697015     244.702557     244.751372
140000      19.000000     0     0.003346     244.702299     244.701325     244.593902
141000      18.000000     2     0.003031     244.697015     244.702557     244.751367
142000      19.000000     0     0.002719     244.702304     244.701325     244.593902
143000      18.000000     2     0.002419     244.697015     244.702557     244.751362
144000      19.000000     0     0.002123     244.702309     244.701325     244.593902
145000      18.000000     2     0.001843     244.697015     244.702557     244.751358
146000      19.000000     0     0.001565     244.702314     244.701325     244.593902
147000      18.000000     2     0.001306     244.697015     244.702557     244.751353
148000      19.000000     0     0.001050     244.702319     244.701325     244.593902
149000      18.000000     2     0.000817     244.697015     244.702557     244.751348
150000      19.000000     0     0.000587     244.702324     244.701325     244.593902
151000      18.000000     2     0.000383     244.697015     244.702557     244.751343
152000      19.000000     0     0.000183     244.702329     244.701325     244.593902
153000      18.000000     2     0.000015     244.697015     244.702557     244.751339
154000      19.000000     0     0.000000     244.702334     244.701325     244.593902
155000      18.000000     1     0.000000     244.697015     244.702557     244.751334
156000      18.000000     2     0.000000     244.697015     244.702562     244.751334
157000      19.000000     0     0.000000     244.702334     244.701325     244.593902
158000      18.000000     2     0.000000     244.697015     244.702562     244.751329
159000      19.000000     0     0.000000     244.702339     244.701325     244.593902
160000      18.000000     2     0.000013     244.697015     244.702562     244.751324
161000      19.000000     0     0.000031     244.702344     244.701325     244.593902
162000      18.000000     2     0.000118     244.697015     244.702562     244.751319
163000      19.000000     0     0.000212     244.702349     244.701325     244.593902
164000      18.000000     2     0.000388     244.697015     244.702562     244.751314
165000      19.000000     0     0.000571     244.702354     244.701325     244.593902
166000      18.000000     2     0.000852     244.697015     244.702562     244.751309
167000      19.000000     0     0.001141     244.702359     244.701325     244.593902
168000      18.000000     2     0.001544     244.697015     244.702562     244.751304
169000      19.000000     0     0.001954     244.702364     244.701325     244.593902
170000      18.000000     2     0.002496     244.697015     244.702562     244.751300
171000      19.000000     0     0.003045     244.702369     244.701325     244.593902
172000      18.000000     2     0.003744     244.697015     244.702562     244.751295
173000      19.000000     0     0.004445     244.702374     244.701325     244.593902
174000      18.000000     2     0.005317     244.697015     244.702562     244.751291
175000      19.000000     0     0.006184     244.702379     244.701325     244.593902
176000      18.000000     2     0.007238     244.697015     244.702562     244.751286
177000      19.000000     0     0.008279     244.702385     244.701325     244.593902
178000      18.000000     2     0.009520     244.697015     244.702562     244.751282
