episode,epsilon,Alpha,steps,return
132,0.900000,0.001000,1000001,107.072559
133,0.900000,0.001000,1000001,182.053660
134,0.900000,0.001000,1000001,140.455946
135,0.900000,0.001000,1000001,108.243281
136,0.900000,0.001000,1000001,187.895422
137,0.900000,0.001000,1000001,165.556489
138,0.900000,0.001000,1000001,163.399711
139,0.900000,0.001000,1000001,162.914526
140,0.900000,0.001000,1000001,131.335015
141,0.900000,0.001000,1000001,163.900836
142,0.900000,0.001000,1000001,163.623922
143,0.900000,0.001000,1000001,131.135837
144,0.900000,0.001000,1000001,235.354125
145,0.900000,0.001000,1000001,134.219507
146,0.900000,0.001000,1000001,163.749534
147,0.900000,0.001000,1000001,167.981127
148,0.900000,0.001000,1000001,162.126305
149,0.900000,0.001000,1000001,161.768413
150,0.900000,0.001000,1000001,131.618426
151,0.900000,0.001000,1000001,174.953739
152,0.900000,0.001000,1000001,182.402028
153,0.900000,0.001000,1000001,107.533755
154,0.900000,0.001000,1000001,132.048104
155,0.900000,0.001000,1000001,178.373889
156,0.900000,0.001000,1000001,106.148274
157,0.900000,0.001000,1000001,85.656711
158,0.900000,0.001000,1000001,106.611574
159,0.900000,0.001000,1000001,177.545716
160,0.900000,0.001000,1000001,131.859708
161,0.900000,0.001000,1000001,162.199443
162,0.900000,0.001000,1000001,131.636004
163,0.900000,0.001000,1000001,161.034681
164,0.900000,0.001000,1000001,220.785165
165,0.900000,0.001000,1000001,231.273229
166,0.900000,0.001000,1000001,239.607567
167,0.900000,0.001000,1000001,237.334602
168,0.900000,0.001000,1000001,238.465304
169,0.900000,0.001000,1000001,229.179634
170,0.900000,0.001000,1000001,236.923215
171,0.900000,0.001000,1000001,236.618535
172,0.900000,0.001000,1000001,185.500522
173,0.900000,0.001000,1000001,237.508773
174,0.900000,0.001000,1000001,239.643609
175,0.900000,0.001000,1000001,227.615473
176,0.900000,0.001000,1000001,181.601338
177,0.900000,0.001000,1000001,183.884777
178,0.900000,0.001000,1000001,219.562571
179,0.900000,0.001000,1000001,237.333355
180,0.900000,0.001000,1000001,238.003490
181,0.900000,0.001000,1000001,237.152771
182,0.900000,0.001000,1000001,232.971996
183,0.900000,0.001000,1000001,178.629668
184,0.900000,0.001000,1000001,108.064296
185,0.900000,0.001000,1000001,86.390071
186,0.900000,0.001000,1000001,82.183336
187,0.900000,0.001000,1000001,79.939301
188,0.900000,0.001000,1000001,77.189896
189,0.900000,0.001000,1000001,86.796013
190,0.900000,0.001000,1000001,73.251023
191,0.900000,0.001000,1000001,74.728031
192,0.900000,0.001000,1000001,71.854769
193,0.900000,0.001000,1000001,67.552174
194,0.900000,0.001000,1000001,76.399368
195,0.900000,0.001000,1000001,71.951198
196,0.900000,0.001000,1000001,63.251136
197,0.900000,0.001000,1000001,75.796365
198,0.900000,0.001000,1000001,66.684407
199,0.900000,0.001000,1000001,73.347269
200,0.900000,0.001000,1000001,76.227787
201,0.900000,0.001000,1000001,80.342979
202,0.900000,0.001000,1000001,82.629113
203,0.900000,0.001000,1000001,79.528254
204,0.900000,0.001000,1000001,77.018399
205,0.900000,0.001000,1000001,50.149142
206,0.900000,0.001000,1000001,42.973307
207,0.900000,0.001000,1000001,39.509161
208,0.900000,0.001000,1000001,26.451836
209,0.900000,0.001000,1000001,229.001289
210,0.900000,0.001000,420246,9.638286
211,0.900000,0.001000,1000001,211.357922
212,0.900000,0.001000,1000001,203.921666
213,0.900000,0.001000,1000001,220.694268
214,0.900000,0.001000,331242,9.690039
215,0.900000,0.001000,390830,9.555402
216,0.900000,0.001000,281853,10.128040
217,0.900000,0.001000,231036,2.310001
218,0.900000,0.001000,241071,6.147392
219,0.900000,0.001000,253425,5.753110
220,0.900000,0.001000,210711,2.220987
221,0.900000,0.001000,230514,1.680896
222,0.900000,0.001000,255168,5.994061
223,0.900000,0.001000,280698,10.344733
224,0.900000,0.001000,274696,2.763897
225,0.900000,0.001000,230846,2.387566
226,0.900000,0.001000,266732,10.418113
227,0.900000,0.001000,1000001,35.126389
228,0.900000,0.001000,329398,8.674587
229,0.900000,0.001000,279030,9.930553
230,0.900000,0.001000,243881,3.972116
231,0.900000,0.001000,266259,10.796871
232,0.900000,0.001000,233756,2.255878
233,0.900000,0.001000,1000001,88.707810
234,0.900000,0.001000,345475,9.614640
235,0.900000,0.001000,298116,9.256685
236,0.900000,0.001000,388946,8.973154
237,0.900000,0.001000,1000001,179.400700
238,0.900000,0.001000,1000001,28.612959
239,0.900000,0.001000,1000001,33.894643
240,0.900000,0.001000,1000001,187.996085
241,0.900000,0.001000,1000001,25.767658
242,0.900000,0.001000,1000001,29.910686
243,0.900000,0.001000,1000001,29.694218
244,0.900000,0.001000,1000001,207.717586
245,0.900000,0.001000,1000001,226.867146
246,0.900000,0.001000,1000001,227.632974
247,0.900000,0.001000,1000001,217.528357
248,0.900000,0.001000,1000001,209.188797
249,0.900000,0.001000,1000001,29.355331
250,0.900000,0.001000,1000001,33.681424
251,0.900000,0.001000,1000001,32.667186
252,0.900000,0.001000,1000001,239.111017
253,0.900000,0.001000,1000001,39.661730
254,0.900000,0.001000,1000001,55.978484
255,0.900000,0.001000,1000001,76.372709
256,0.900000,0.001000,1000001,50.178205
257,0.900000,0.001000,1000001,51.292911
258,0.900000,0.001000,1000001,54.428964
259,0.900000,0.001000,1000001,33.083228
260,0.900000,0.001000,1000001,62.198613
261,0.900000,0.001000,1000001,50.574086
262,0.900000,0.001000,1000001,50.093826
263,0.900000,0.001000,1000001,50.446733
264,0.900000,0.001000,1000001,82.861736
265,0.900000,0.001000,1000001,82.387909
266,0.900000,0.001000,1000001,50.807107
267,0.900000,0.001000,1000001,73.247621
268,0.900000,0.001000,1000001,50.729784
269,0.900000,0.001000,1000001,50.943159
270,0.900000,0.001000,1000001,76.476149
271,0.900000,0.001000,1000001,73.129598
272,0.900000,0.001000,1000001,81.284574
273,0.900000,0.001000,1000001,80.033610
274,0.900000,0.001000,1000001,83.726906
275,0.900000,0.001000,1000001,51.231289
276,0.900000,0.001000,1000001,67.793195
277,0.900000,0.001000,1000001,82.342766
278,0.900000,0.001000,1000001,86.789244
279,0.900000,0.001000,1000001,84.978148
280,0.900000,0.001000,1000001,110.307071
281,0.900000,0.001000,1000001,86.896917
282,0.900000,0.001000,1000001,87.074377
283,0.900000,0.001000,1000001,82.546297
284,0.900000,0.001000,1000001,140.276083
285,0.900000,0.001000,1000001,176.896586
286,0.900000,0.001000,1000001,236.779991
287,0.900000,0.001000,1000001,236.284754
288,0.900000,0.001000,1000001,181.960763
289,0.900000,0.001000,1000001,237.676671
290,0.900000,0.001000,1000001,240.432773
291,0.900000,0.001000,1000001,181.228896
292,0.900000,0.001000,1000001,236.635694
293,0.900000,0.001000,1000001,238.909065
294,0.900000,0.001000,1000001,238.057726
295,0.900000,0.001000,1000001,237.160380
296,0.900000,0.001000,1000001,223.737792
297,0.900000,0.001000,1000001,222.217322
298,0.900000,0.001000,1000001,243.872575
299,0.900000,0.001000,1000001,238.114073
300,0.900000,0.001000,1000001,238.558471
301,0.900000,0.001000,1000001,238.286753
302,0.900000,0.001000,1000001,238.483456
303,0.900000,0.001000,1000001,236.934899
304,0.900000,0.001000,1000001,237.171503
305,0.900000,0.001000,1000001,238.659342
306,0.900000,0.001000,1000001,237.940989
307,0.900000,0.001000,1000001,238.407911
308,0.900000,0.001000,1000001,239.155900
309,0.900000,0.001000,1000001,231.430659
310,0.900000,0.001000,1000001,235.695924
311,0.900000,0.001000,1000001,237.409604
312,0.900000,0.001000,1000001,238.917156
313,0.900000,0.001000,1000001,237.004114
314,0.900000,0.001000,1000001,238.719169
315,0.900000,0.001000,1000001,237.117717
316,0.900000,0.001000,1000001,242.566864
317,0.900000,0.001000,1000001,237.668777
318,0.900000,0.001000,1000001,237.953134
319,0.900000,0.001000,1000001,213.669249
320,0.900000,0.001000,1000001,198.796129
321,0.900000,0.001000,1000001,216.958589
322,0.900000,0.001000,1000001,200.321987
323,0.900000,0.001000,1000001,200.784378
324,0.900000,0.001000,1000001,198.386461
325,0.900000,0.001000,1000001,198.921240
326,0.900000,0.001000,1000001,193.843195
327,0.900000,0.001000,1000001,198.922815
328,0.900000,0.001000,1000001,214.995369
329,0.900000,0.001000,1000001,214.477907
330,0.900000,0.001000,1000001,220.188925
331,0.900000,0.001000,1000001,212.938470
332,0.900000,0.001000,1000001,240.383577
333,0.900000,0.001000,1000001,237.975560
334,0.900000,0.001000,1000001,214.316469
335,0.900000,0.001000,1000001,216.797539
336,0.900000,0.001000,1000001,214.109040
337,0.900000,0.001000,1000001,239.356850
338,0.900000,0.001000,1000001,237.694887
339,0.900000,0.001000,1000001,214.554118
340,0.900000,0.001000,1000001,217.850187
341,0.900000,0.001000,1000001,134.808033
342,0.900000,0.001000,1000001,164.602775
343,0.900000,0.001000,1000001,219.433983
344,0.900000,0.001000,1000001,134.257678
345,0.900000,0.001000,1000001,225.870074
346,0.900000,0.001000,1000001,135.346707
347,0.900000,0.001000,1000001,233.613938
348,0.900000,0.001000,1000001,133.731116
349,0.900000,0.001000,1000001,161.181318
350,0.900000,0.001000,1000001,131.771812
351,0.900000,0.001000,1000001,236.302262
352,0.900000,0.001000,1000001,237.029189
353,0.900000,0.001000,1000001,237.338643
354,0.900000,0.001000,1000001,237.402367
355,0.900000,0.001000,1000001,237.465013
356,0.900000,0.001000,1000001,236.626055
357,0.900000,0.001000,1000001,236.467030
358,0.900000,0.001000,1000001,238.321592
359,0.900000,0.001000,1000001,237.015997
360,0.900000,0.001000,1000001,236.628867
361,0.900000,0.001000,1000001,238.441838
362,0.900000,0.001000,1000001,238.519189
363,0.900000,0.001000,1000001,241.736260
364,0.900000,0.001000,1000001,237.015678
365,0.900000,0.001000,1000001,157.674509
366,0.900000,0.001000,1000001,221.434095
367,0.900000,0.001000,1000001,188.050706
368,0.900000,0.001000,1000001,103.131274
369,0.900000,0.001000,1000001,189.196183
370,0.900000,0.001000,1000001,132.744641
371,0.900000,0.001000,1000001,108.771740
372,0.900000,0.001000,1000001,87.297447
373,0.900000,0.001000,1000001,86.709941
374,0.900000,0.001000,1000001,118.177916
375,0.900000,0.001000,1000001,87.210699
376,0.900000,0.001000,1000001,85.124255
377,0.900000,0.001000,1000001,75.327312
378,0.900000,0.001000,1000001,48.820702
379,0.900000,0.001000,1000001,99.036523
380,0.900000,0.001000,1000001,118.220006
381,0.900000,0.001000,327116,7.187920
382,0.900000,0.001000,332036,7.627998
383,0.900000,0.001000,497851,8.118624
384,0.900000,0.001000,1000001,226.533188
385,0.900000,0.001000,1000001,101.831695
386,0.900000,0.001000,542534,7.291417
387,0.900000,0.001000,272715,7.478614
388,0.900000,0.001000,287452,7.264793
389,0.900000,0.001000,1000001,87.648868
390,0.900000,0.001000,277261,7.189300
391,0.900000,0.001000,299993,7.498011
392,0.900000,0.001000,243716,3.780063
393,0.900000,0.001000,284858,4.091098
394,0.900000,0.001000,381898,8.326751
395,0.900000,0.001000,381391,7.023877
396,0.900000,0.001000,1000001,23.735946
397,0.900000,0.001000,1000001,34.173594
398,0.900000,0.001000,1000001,52.608096
399,0.900000,0.001000,1000001,23.906382
400,0.900000,0.001000,282339,7.064354
401,0.900000,0.001000,400971,7.312753
