step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
105000      19.000000     2     0.015494     244.621947     244.620850     244.635769
106000      20.000000     0     0.015094     244.675728     244.627651     0.000000
107000      19.000000     2     0.014683     244.621947     244.620850     244.635775
108000      20.000000     0     0.014283     244.675726     244.627651     0.000000
109000      19.000000     2     0.013871     244.621947     244.620850     244.635780
110000      20.000000     0     0.013471     244.675723     244.627651     0.000000
111000      19.000000     2     0.013059     244.621947     244.620850     244.635786
112000      20.000000     0     0.012659     244.675720     244.627651     0.000000
113000      19.000000     2     0.012248     244.621947     244.620850     244.635791
114000      20.000000     1     0.011849     244.675718     244.627651     0.000000
115000      20.000000     0     0.011451     244.675718     244.627657     0.000000
116000      19.000000     2     0.011041     244.621947     244.620850     244.635792
117000      20.000000     0     0.010644     244.675715     244.627657     0.000000
118000      19.000000     2     0.010237     244.621947     244.620850     244.635797
119000      20.000000     0     0.009843     244.675712     244.627657     0.000000
120000      19.000000     2     0.009438     244.621947     244.620850     244.635802
121000      20.000000     0     0.009046     244.675709     244.627657     0.000000
122000      19.000000     2     0.008645     244.621947     244.620850     244.635807
123000      20.000000     0     0.008257     244.675706     244.627657     0.000000
124000      19.000000     2     0.007859     244.621947     244.620850     244.635811
125000      20.000000     0     0.007475     244.675703     244.627657     0.000000
126000      19.000000     2     0.007082     244.621947     244.620850     244.635816
127000      20.000000     0     0.006701     244.675699     244.627657     0.000000
128000      19.000000     2     0.006314     244.621947     244.620850     244.635821
129000      20.000000     1     0.005938     244.675696     244.627657     0.000000
130000      20.000000     0     0.005564     244.675696     244.627663     0.000000
131000      19.000000     2     0.005185     244.621947     244.620850     244.635821
132000      20.000000     0     0.004817     244.675693     244.627663     0.000000
133000      19.000000     2     0.004444     244.621947     244.620850     244.635825
134000      20.000000     0     0.004083     244.675689     244.627663     0.000000
135000      19.000000     2     0.003718     244.621947     244.620850     244.635830
136000      20.000000     0     0.003363     244.675686     244.627663     0.000000
137000      19.000000     2     0.003007     244.621947     244.620850     244.635834
138000      20.000000     0     0.002660     244.675682     244.627663     0.000000
139000      19.000000     2     0.002313     244.621947     244.620850     244.635838
140000      20.000000     0     0.001975     244.675678     244.627663     0.000000
141000      19.000000     2     0.001639     244.621947     244.620850     244.635843
142000      20.000000     0     0.001311     244.675674     244.627663     0.000000
143000      19.000000     2     0.000987     244.621947     244.620850     244.635847
144000      20.000000     0     0.000670     244.675671     244.627663     0.000000
145000      19.000000     2     0.000359     244.621947     244.620850     244.635851
146000      20.000000     0     0.000055     244.675667     244.627663     0.000000
147000      19.000000     2     0.000000     244.621947     244.620850     244.635855
148000      20.000000     0     0.000000     244.675663     244.627663     0.000000
149000      19.000000     2     0.000000     244.621947     244.620850     244.635859
150000      20.000000     0     0.000000     244.675659     244.627663     0.000000
151000      19.000000     2     0.000000     244.621947     244.620850     244.635863
152000      20.000000     0     0.000000     244.675655     244.627663     0.000000
153000      19.000000     2     0.000000     244.621947     244.620850     244.635867
154000      20.000000     0     0.000000     244.675651     244.627663     0.000000
155000      19.000000     2     0.000000     244.621947     244.620850     244.635871
156000      20.000000     0     0.000000     244.675647     244.627663     0.000000
157000      19.000000     2     0.000000     244.621947     244.620850     244.635875
158000      20.000000     0     0.000000     244.675643     244.627663     0.000000
159000      19.000000     2     0.000000     244.621947     244.620850     244.635879
160000      20.000000     0     0.000000     244.675639     244.627663     0.000000
161000      19.000000     2     0.000000     244.621947     244.620850     244.635883
162000      20.000000     1     0.000000     244.675635     244.627663     0.000000
163000      20.000000     0     0.000000     244.675635     244.627667     0.000000
164000      19.000000     2     0.000000     244.621947     244.620850     244.635882
165000      20.000000     0     0.000000     244.675631     244.627667     0.000000
166000      19.000000     2     0.000000     244.621947     244.620850     244.635886
167000      20.000000     0     0.000000     244.675627     244.627667     0.000000
168000      19.000000     2     0.000000     244.621947     244.620850     244.635890
169000      20.000000     0     0.000000     244.675623     244.627667     0.000000
170000      19.000000     2     0.000034     244.621947     244.620850     244.635894
171000      20.000000     0     0.000048     244.675619     244.627667     0.000000
172000      19.000000     2     0.000144     244.621947     244.620850     244.635898
173000      20.000000     0     0.000216     244.675615     244.627667     0.000000
174000      19.000000     2     0.000384     244.621947     244.620850     244.635902
175000      20.000000     0     0.000522     244.675611     244.627667     0.000000
176000      19.000000     2     0.000771     244.621947     244.620850     244.635906
177000      20.000000     0     0.000984     244.675607     244.627667     0.000000
178000      19.000000     2     0.001326     244.621947     244.620850     244.635910
179000      20.000000     0     0.001623     244.675603     244.627667     0.000000
180000      19.000000     2     0.002068     244.621947     244.620850     244.635914
181000      20.000000     0     0.002458     244.675599     244.627667     0.000000
182000      19.000000     2     0.003017     244.621947     244.620850     244.635918
183000      20.000000     0     0.003508     244.675596     244.627667     0.000000
184000      19.000000     2     0.004190     244.621947     244.620850     244.635922
185000      20.000000     0     0.004790     244.675592     244.627667     0.000000
186000      19.000000     2     0.005602     244.621947     244.620850     244.635927
187000      20.000000     0     0.006316     244.675589     244.627667     0.000000
188000      19.000000     2     0.007263     244.621947     244.620850     244.635931
189000      20.000000     0     0.008092     244.675585     244.627667     0.000000
190000      19.000000     2     0.009175     244.621947     244.620850     244.635936
191000      20.000000     0     0.010117     244.675582     244.627667     0.000000
192000      19.000000     2     0.011331     244.621947     244.620850     244.635941
193000      20.000000     0     0.012381     244.675579     244.627667     0.000000
194000      19.000000     2     0.013716     244.621947     244.620850     244.635946
195000      20.000000     0     0.014863     244.675576     244.627667     0.000000
196000      19.000000     2     0.016304     244.621947     244.620850     244.635951
197000      20.000000     0     0.017532     244.675574     244.627667     0.000000
198000      19.000000     2     0.019060     244.621947     244.620850     244.635957
199000      20.000000     0     0.020351     244.675572     244.627667     0.000000
200000      19.000000     2     0.021941     244.621947     244.620850     244.635963
201000      20.000000     0     0.023273     244.675570     244.627667     0.000000
202000      19.000000     2     0.024899     244.621947     244.620850     244.635969
203000      20.000000     0     0.026249     244.675568     244.627667     0.000000
204000      19.000000     2     0.027885     244.621947     244.620850     244.635975
205000      20.000000     0     0.029230     244.675567     244.627667     0.000000
206000      19.000000     2     0.030850     244.621947     244.620850     244.635982
207000      20.000000     0     0.032170     244.675566     244.627667     0.000000
208000      19.000000     2     0.033750     244.621947     244.620850     244.635989
209000      20.000000     0     0.035026     244.675565     244.627667     0.000000
210000      19.000000     2     0.036547     244.621947     244.620850     244.635996
211000      20.000000     0     0.037764     244.675565     244.627667     0.000000
212000      19.000000     2     0.039210     244.621947     244.620850     244.636004
213000      20.000000     0     0.040358     244.675564     244.627667     0.000000
214000      19.000000     2     0.041718     244.621947     244.620850     244.636012
215000      20.000000     0     0.042788     244.675564     244.627667     0.000000
216000      19.000000     2     0.044055     244.621947     244.620850     244.636020
217000      20.000000     0     0.045043     244.675565     244.627667     0.000000
