t         x_kite          z_kite         x_block          z_block          wind_x       wind_y       v_block_x
72000       51.825541       7.064187      2.327084      0.000000      3.529800      0.532217     2.949384
73000       51.853545       7.073360      2.356398      0.000000      3.534349      0.534137     2.913429
74000       51.881317       7.081627      2.385352      0.000000      3.538445      0.535860     2.877389
75000       51.908855       7.088995      2.413944      0.000000      3.542093      0.537386     2.841159
76000       51.936156       7.095473      2.442174      0.000000      3.545296      0.538715     2.804849
77000       51.963220       7.101072      2.470041      0.000000      3.548060      0.539850     2.768382
78000       51.990041       7.105804      2.497541      0.000000      3.550391      0.540792     2.731822
79000       52.016619       7.109685      2.524676      0.000000      3.552297      0.541544     2.695119
80000       52.042948       7.112730      2.551443      0.000000      3.553785      0.542109     2.658294
81000       52.069026       7.114957      2.577841      0.000000      3.554866      0.542492     2.621328
82000       52.094848       7.116389      2.603869      0.000000      3.555549      0.542696     2.584202
83000       52.120409       7.117045      2.629524      0.000000      3.555844      0.542727     2.546938
84000       52.145705       7.116949      2.654806      0.000000      3.555765      0.542589     2.509469
85000       52.170730       7.116127      2.679713      0.000000      3.555322      0.542289     2.471867
86000       52.195478       7.114603      2.704242      0.000000      3.554530      0.541832     2.434018
87000       52.219945       7.112404      2.728393      0.000000      3.553401      0.541225     2.396050
88000       52.244122       7.109560      2.752162      0.000000      3.551949      0.540475     2.357794
89000       52.268006       7.106096      2.775548      0.000000      3.550188      0.539587     2.319440
90000       52.291589       7.102044      2.798549      0.000000      3.548134      0.538570     2.280765
91000       52.314864       7.097433      2.821163      0.000000      3.545801      0.537431     2.242019
92000       52.337825       7.092293      2.843388      0.000000      3.543204      0.536176     2.202924
93000       52.360467       7.086655      2.865221      0.000000      3.540358      0.534814     2.163794
94000       52.382781       7.080549      2.886662      0.000000      3.537280      0.533351     2.124295
95000       52.404762       7.074006      2.907707      0.000000      3.533983      0.531796     2.084801
96000       52.426403       7.067059      2.928356      0.000000      3.530485      0.530155     2.044924
97000       52.447698       7.059737      2.948606      0.000000      3.526800      0.528436     2.005096
98000       52.468640       7.052073      2.968455      0.000000      3.522944      0.526647     1.964880
99000       52.489224       7.044097      2.987904      0.000000      3.518934      0.524795     1.924757
100000       52.509443       7.035840      3.006948      0.000000      3.514783      0.522887     1.884249
101000       52.529292       7.027333      3.025589      0.000000      3.510508      0.520930     1.843879
102000       52.548765       7.018608      3.043824      0.000000      3.506124      0.518933     1.803133
103000       52.567856       7.009693      3.061652      0.000000      3.501647      0.516900     1.762569
104000       52.586561       7.000620      3.079073      0.000000      3.497090      0.514841     1.721643
105000       52.604874       6.991418      3.096086      0.000000      3.492470      0.512760     1.680942
106000       52.622790       6.982118      3.112690      0.000000      3.487801      0.510665     1.639901
107000       52.640306       6.972747      3.128885      0.000000      3.483098      0.508563     1.599123
108000       52.657416       6.963335      3.144671      0.000000      3.478374      0.506459     1.558032
109000       52.674117       6.953911      3.160047      0.000000      3.473645      0.504360     1.517238
110000       52.690404       6.944503      3.175013      0.000000      3.468925      0.502272     1.476164
111000       52.706274       6.935139      3.189571      0.000000      3.464227      0.500201     1.435416
112000       52.721751       6.925685      3.203726      0.000000      3.459485      0.498118     1.395480
113000       52.736832       6.916169      3.217476      0.000000      3.454712      0.496030     1.354669
114000       52.751482       6.906789      3.230817      0.000000      3.450008      0.493978     1.313649
115000       52.765700       6.897570      3.243750      0.000000      3.445385      0.491967     1.273017
116000       52.779507       6.888417      3.256283      0.000000      3.440795      0.489978     1.233480
117000       52.792898       6.879359      3.268415      0.000000      3.436253      0.488015     1.192960
118000       52.805847       6.870547      3.280141      0.000000      3.431835      0.486111     1.152324
119000       52.818353       6.862005      3.291462      0.000000      3.427552      0.484270     1.112112
120000       52.830414       6.853760      3.302382      0.000000      3.423419      0.482498     1.071841
121000       52.842028       6.845838      3.312901      0.000000      3.419447      0.480798     1.031998
122000       52.853203       6.838213      3.323022      0.000000      3.415624      0.479166     0.992335
123000       52.863928       6.830964      3.332747      0.000000      3.411990      0.477617     0.952705
124000       52.874203       6.824116      3.342077      0.000000      3.408556      0.476155     0.913505
125000       52.884026       6.817694      3.351017      0.000000      3.405336      0.474787     0.874407
126000       52.893398       6.811726      3.359567      0.000000      3.402343      0.473515     0.835732
127000       52.902316       6.806237      3.367731      0.000000      3.399590      0.472346     0.797237
128000       52.910782       6.801255      3.375513      0.000000      3.397091      0.471285     0.759156
129000       52.918795       6.796808      3.382915      0.000000      3.394860      0.470336     0.721339
130000       52.926353       6.792923      3.389941      0.000000      3.392910      0.469505     0.683925
131000       52.933458       6.789629      3.396594      0.000000      3.391256      0.468797     0.646870
132000       52.940110       6.786955      3.402879      0.000000      3.389912      0.468219     0.610204
133000       52.946307       6.784933      3.408799      0.000000      3.388894      0.467775     0.574003
134000       52.952051       6.783592      3.414360      0.000000      3.388218      0.467471     0.538178
135000       52.957342       6.782966      3.419565      0.000000      3.387899      0.467315     0.502937
136000       52.962180       6.783087      3.424419      0.000000      3.387953      0.467313     0.468057
137000       52.966565       6.783991      3.428928      0.000000      3.388399      0.467472     0.433899
138000       52.970499       6.785712      3.433097      0.000000      3.389254      0.467799     0.400089
139000       52.973981       6.788288      3.436933      0.000000      3.390537      0.468301     0.367159
140000       52.977013       6.791758      3.440441      0.000000      3.392267      0.468988     0.334564
141000       52.979596       6.796164      3.443628      0.000000      3.394465      0.469868     0.303034
142000       52.981731       6.801546      3.446502      0.000000      3.397151      0.470951     0.271830
143000       52.983419       6.807951      3.449069      0.000000      3.400349      0.472246     0.241907
144000       52.984662       6.815424      3.451340      0.000000      3.404081      0.473763     0.212305
145000       52.985461       6.824015      3.453321      0.000000      3.408372      0.475515     0.184240
146000       52.985818       6.833775      3.455024      0.000000      3.413247      0.477514     0.156497
147000       52.985735       6.844758      3.456458      0.000000      3.418734      0.479773     0.130595
148000       52.985216       6.857021      3.457635      0.000000      3.424861      0.482305     0.105024
149000       52.984263       6.870624      3.458568      0.000000      3.431657      0.485126     0.081658
150000       52.982880       6.885628      3.459268      0.000000      3.439155      0.488252     0.058644
151000       52.981070       6.902101      3.459751      0.000000      3.447387      0.491701     0.038271
152000       52.978837       6.920111      3.460032      0.000000      3.456386      0.495491     0.018280
153000       52.976189       6.939731      3.460129      0.000000      3.466191      0.499643     0.001458
154000       52.973198       6.961042      3.460130      0.000000      3.476842      0.504178     0.000000
155000       52.969948       6.984119      3.460130      0.000000      3.488374      0.509120     0.000000
156000       52.966414       7.009124      3.460130      0.000000      3.500871      0.514509     0.000000
157000       52.962599       7.036020      3.460130      0.000000      3.514313      0.520347     0.000000
158000       52.958488       7.064882      3.460130      0.000000      3.528736      0.526660     0.000000
159000       52.954067       7.095783      3.460130      0.000000      3.544180      0.533473     0.000000
160000       52.949325       7.128809      3.460134      0.000000      3.560685      0.540817     0.001281
161000       52.944255       7.164048      3.460153      0.000000      3.578297      0.548725     0.003070
162000       52.938875       7.201598      3.460223      0.000000      3.597063      0.557234     0.011770
163000       52.933205       7.241552      3.460385      0.000000      3.617031      0.566379     0.021166
164000       52.927267       7.284010      3.460680      0.000000      3.638251      0.576203     0.038774
165000       52.921087       7.329066      3.461156      0.000000      3.660769      0.586746     0.057153
166000       52.914695       7.376817      3.461863      0.000000      3.684633      0.598054     0.085239
167000       52.908123       7.427351      3.462856      0.000000      3.709889      0.610171     0.114130
168000       52.901408       7.480759      3.464193      0.000000      3.736581      0.623145     0.154404
169000       52.894591       7.537120      3.465937      0.000000      3.764748      0.637026     0.195441
170000       52.887718       7.596508      3.468157      0.000000      3.794429      0.651863     0.249682
171000       52.880840       7.658985      3.470922      0.000000      3.825653      0.667707     0.304514
172000       52.874011       7.724607      3.474310      0.000000      3.858448      0.684609     0.374455
173000       52.867293       7.793408      3.478399      0.000000      3.892832      0.702618     0.444614
174000       52.860751       7.865413      3.483274      0.000000      3.928818      0.721783     0.531771
175000       52.854457       7.940626      3.489019      0.000000      3.966405      0.742150     0.618495
176000       52.848486       8.019031      3.495724      0.000000      4.005588      0.763763     0.723955
177000       52.842918       8.100590      3.503477      0.000000      4.046346      0.786662     0.827972
178000       52.837838       8.185244      3.512370      0.000000      4.088651      0.810881     0.952157
179000       52.833333       8.272908      3.522492      0.000000      4.132459      0.836449     1.073469
180000       52.829493       8.363473      3.533932      0.000000      4.177717      0.863386     1.215907
181000       52.826409       8.456805      3.546774      0.000000      4.224356      0.891706     1.353605
182000       52.824175       8.552746      3.561100      0.000000      4.272299      0.921415     1.512778
183000       52.822879       8.651116      3.576984      0.000000      4.321454      0.952506     1.664944
184000       52.822612       8.751714      3.594495      0.000000      4.371721      0.984967     1.838251
185000       52.823459       8.854320      3.613694      0.000000      4.422991      1.018771     2.001994
186000       52.825500       8.958700      3.634630      0.000000      4.475146      1.053885     2.185861
187000       52.828809       9.064608      3.657345      0.000000      4.528064      1.090264     2.357499
188000       52.833455       9.171791      3.681870      0.000000      4.581617      1.127855     2.547657
189000       52.839495       9.279992      3.708224      0.000000      4.635677      1.166595     2.723027
190000       52.846979       9.388953      3.736415      0.000000      4.690116      1.206415     2.914892
191000       52.855949       9.498424      3.766440      0.000000      4.744807      1.247241     3.089736
192000       52.866435       9.608159      3.798286      0.000000      4.799628      1.288993     3.278826
193000       52.878457       9.717926      3.831929      0.000000      4.854464      1.331586     3.449165
194000       52.892026       9.827504      3.867337      0.000000      4.909203      1.374935     3.631483
195000       52.907144       9.936690      3.904469      0.000000      4.963744      1.418955     3.793925
196000       52.923801       10.045299      3.943275      0.000000      5.017995      1.463561     3.966221
197000       52.941983       10.153163      3.983702      0.000000      5.071872      1.508668     4.118149
198000       52.961665       10.260134      4.025690      0.000000      5.125300      1.554198     4.278056
199000       52.982816       10.366084      4.069174      0.000000      5.178216      1.600072     4.417688
200000       53.005277       10.470559      4.113894      0.000000      5.230394      1.646068     4.524811
201000       53.028988       10.573530      4.159770      0.000000      5.281818      1.692139     4.649360
202000       53.054010       10.675291      4.206920      0.000000      5.332635      1.738385     4.779305
203000       53.080297       10.775780      4.255277      0.000000      5.382815      1.784750     4.890956
204000       53.107800       10.874956      4.304774      0.000000      5.432337      1.831187     5.007030
205000       53.136468       10.972784      4.355344      0.000000      5.481184      1.877649     5.105913
206000       53.166247       11.069246      4.406922      0.000000      5.529347      1.924097     5.208478
207000       53.197087       11.164333      4.459445      0.000000      5.576821      1.970498     5.295101
208000       53.228881       11.258065      4.512806      0.000000      5.623616      2.016833     5.375975
209000       53.261626       11.350439      4.566990      0.000000      5.669732      2.063071     5.459786
210000       53.295269       11.441468      4.621942      0.000000      5.715174      2.109188     5.529625
211000       53.329758       11.531176      4.677605      0.000000      5.759954      2.155171     5.602058
212000       53.365042       11.619587      4.733929      0.000000      5.804086      2.201004     5.661800
213000       53.401070       11.706736      4.790862      0.000000      5.847585      2.246680     5.723892
214000       53.437794       11.792653      4.848358      0.000000      5.890468      2.292190     5.774512
215000       53.475166       11.877380      4.906371      0.000000      5.932755      2.337532     5.827310
216000       53.513141       11.960953      4.964859      0.000000      5.974465      2.382703     5.869770
217000       53.551673       12.043417      5.023783      0.000000      6.015620      2.427706     5.914290
218000       53.590722       12.124812      5.083105      0.000000      6.056240      2.472543     5.949509
219000       53.630246       12.205185      5.142789      0.000000      6.096349      2.517220     5.986710
220000       53.670207       12.284576      5.202803      0.000000      6.135967      2.561741     6.015546
221000       53.710565       12.363034      5.263115      0.000000      6.175117      2.606116     6.046316
222000       53.751287       12.440600      5.323697      0.000000      6.213822      2.650354     6.069559
223000       53.792337       12.517322      5.384521      0.000000      6.252105      2.694465     6.094709
224000       53.833683       12.593241      5.445561      0.000000      6.289986      2.738460     6.113079
225000       53.875293       12.668405      5.506796      0.000000      6.327490      2.782354     6.133346
226000       53.917138       12.742854      5.568201      0.000000      6.364636      2.826158     6.147494
227000       53.959189       12.816634      5.629758      0.000000      6.401448      2.869887     6.163544
228000       54.001420       12.889786      5.691448      0.000000      6.437946      2.913556     6.174058
229000       54.043804       12.962354      5.753252      0.000000      6.474153      2.957181     6.186493
230000       54.086316       13.034380      5.815155      0.000000      6.510088      3.000779     6.193904
231000       54.128932       13.105906      5.877142      0.000000      6.545774      3.044367     6.203267
232000       54.171631       13.176972      5.939200      0.000000      6.581230      3.087964     6.208058
233000       54.214390       13.247621      6.001315      0.000000      6.616479      3.131588     6.214845
234000       54.257188       13.317893      6.063478      0.000000      6.651539      3.175259     6.217455
235000       54.300006       13.387831      6.125677      0.000000      6.686432      3.218998     6.222121
236000       54.342824       13.457473      6.187903      0.000000      6.721179      3.262827     6.222954
237000       54.385622       13.526864      6.250148      0.000000      6.755800      3.306768     6.225918
238000       54.428385       13.596043      6.312404      0.000000      6.790316      3.350844     6.225353
239000       54.471094       13.665054      6.374667      0.000000      6.824749      3.395082     6.227008
240000       54.513732       13.733938      6.436929      0.000000      6.859119      3.439505     6.225401
241000       54.556282       13.802738      6.499187      0.000000      6.893448      3.484143     6.226123
242000       54.598730       13.871499      6.561437      0.000000      6.927757      3.529022     6.223816
243000       54.641058       13.940265      6.623676      0.000000      6.962071      3.574175     6.223966
244000       54.683253       14.009081      6.685902      0.000000      6.996410      3.619631     6.221292
245000       54.725298       14.077995      6.748115      0.000000      7.030799      3.665424     6.221230
246000       54.767179       14.147053      6.810314      0.000000      7.065261      3.711590     6.218523
247000       54.808880       14.216307      6.872499      0.000000      7.099822      3.758165     6.218608
248000       54.850388       14.285851      6.934687      0.000000      7.134529      3.805222     6.218972
249000       54.891690       14.355691      6.996866      0.000000      7.169385      3.852767     6.216914
250000       54.932769       14.425882      7.059040      0.000000      7.204418      3.900846     6.217982
251000       54.973613       14.496477      7.121213      0.000000      7.239655      3.949502     6.216759
252000       55.014206       14.567537      7.183391      0.000000      7.275125      3.998785     6.218932
253000       55.054535       14.639119      7.245580      0.000000      7.310857      4.048744     6.218929
254000       55.094585       14.711285      7.307787      0.000000      7.346882      4.099435     6.222635
255000       55.134343       14.784097      7.370021      0.000000      7.383233      4.150912     6.224268
256000       55.173793       14.857624      7.432291      0.000000      7.419942      4.203236     6.229978
257000       55.212922       14.931930      7.494609      0.000000      7.457042      4.256468     6.233707
258000       55.251716       15.007089      7.556986      0.000000      7.494571      4.310675     6.241941
259000       55.290160       15.083170      7.619436      0.000000      7.532562      4.365926     6.248275
260000       55.328241       15.160252      7.681974      0.000000      7.571056      4.422294     6.259613
261000       55.365944       15.238410      7.744616      0.000000      7.610090      4.479854     6.269125
262000       55.403255       15.317726      7.807381      0.000000      7.649704      4.538688     6.284221
263000       55.440162       15.398282      7.870288      0.000000      7.689941      4.598879     6.297557
264000       55.476651       15.480164      7.933360      0.000000      7.730843      4.660516     6.317150
265000       55.512708       15.563458      7.996619      0.000000      7.772454      4.723690     6.335041
266000       55.548322       15.648258      8.060092      0.000000      7.814820      4.788499     6.359967
267000       55.583480       15.734652      8.123805      0.000000      7.857986      4.855040     6.383238
268000       55.618170       15.822740      8.187791      0.000000      7.902001      4.923422     6.414440
269000       55.652384       15.912614      8.252081      0.000000      7.946912      4.993750     6.444022
270000       55.686109       16.004377      8.316710      0.000000      7.992771      5.066139     6.482562
271000       55.719338       16.098127      8.381718      0.000000      8.039626      5.140705     6.519497
272000       55.752064       16.193968      8.447144      0.000000      8.087531      5.217569     6.566554
273000       55.784280       16.292000      8.513034      0.000000      8.136534      5.296854     6.611996
274000       55.815982       16.392330      8.579434      0.000000      8.186690      5.378690     6.668870
275000       55.847169       16.495057      8.646394      0.000000      8.238049      5.463205     6.724077
276000       55.877839       16.600288      8.713971      0.000000      8.290663      5.550533     6.792172
277000       55.907995       16.708121      8.782220      0.000000      8.344583      5.640806     6.858491
278000       55.937642       16.818660      8.851203      0.000000      8.399861      5.734164     6.939288
279000       55.966787       16.931997      8.920985      0.000000      8.456542      5.830738     7.018116
280000       55.995442       17.048231      8.991635      0.000000      8.514676      5.930666     7.113128
281000       56.023622       17.167445      9.063225      0.000000      8.574306      6.034079     7.205866
282000       56.051460       17.289005      9.135681      0.000000      8.635114      6.140432     7.285798
283000       56.078955       17.412989      9.209052      0.000000      8.697139      6.249841     7.389451
284000       56.105996       17.540212      9.283555      0.000000      8.760788      6.363120     7.512601
285000       56.132612       17.670738      9.359276      0.000000      8.826096      6.480390     7.632792
286000       56.158836       17.804632      9.436304      0.000000      8.893095      6.601768     7.774345
287000       56.184707       17.941941      9.514730      0.000000      8.961807      6.727357     7.912143
288000       56.210264       18.082708      9.594648      0.000000      9.032255      6.857255     8.073072
289000       56.235556       18.226956      9.676153      0.000000      9.104451      6.991539     8.229190
290000       56.260634       18.374703      9.759341      0.000000      9.178405      7.130282     8.410017
291000       56.285554       18.525947      9.844308      0.000000      9.254114      7.273532     8.584693
292000       56.310373       18.680679      9.931151      0.000000      9.331575      7.421327     8.785377
293000       56.335155       18.838868      10.019963      0.000000      9.410773      7.573682     8.978281
294000       56.359965       19.000480      10.110838      0.000000      9.491691      7.730599     9.198140
295000       56.384870       19.165457      10.203865      0.000000      9.574301      7.892054     9.408332
296000       56.410059       19.332770      10.298846      0.000000      9.658086      8.056996     9.587788
297000       56.435535       19.502405      10.395811      0.000000      9.743041      8.225421     9.806302
298000       56.461186       19.675292      10.495081      0.000000      9.829631      8.398327     10.048270
299000       56.487068       19.851351      10.596721      0.000000      9.917817      8.575642     10.280375
300000       56.513215       20.030498      10.700781      0.000000      10.007557      8.757289     10.531993
301000       56.539664       20.212643      10.807300      0.000000      10.098806      8.943175     10.772309
302000       56.566443       20.397702      10.916320      0.000000      10.191524      9.133208     11.031904
303000       56.593578       20.585589      11.027873      0.000000      10.285666      9.327280     11.278881
304000       56.621089       20.776225      11.141990      0.000000      10.381194      9.525292     11.544818
305000       56.648992       20.969533      11.258698      0.000000      10.478070      9.727129     11.797000
306000       56.677293       21.165445      11.378022      0.000000      10.576260      9.932690     12.067808
307000       56.705998       21.363896      11.499981      0.000000      10.675731      10.141859     12.323940
308000       56.735100       21.564835      11.624592      0.000000      10.776459      10.354537     12.598409
309000       56.764592       21.768211      11.751872      0.000000      10.878419      10.570614     12.857517
310000       56.794455       21.973995      11.881834      0.000000      10.981595      10.789999     13.134776
311000       56.824668       22.182153      12.014490      0.000000      11.085973      11.012590     13.396225
312000       56.855197       22.392676      12.149850      0.000000      11.191547      11.238309     13.675789
313000       56.886009       22.605551      12.287926      0.000000      11.298313      11.467064     13.939315
314000       56.917057       22.820793      12.428728      0.000000      11.406276      11.698791     14.221104
315000       56.948295       23.038409      12.572269      0.000000      11.515442      11.933413     14.486829
316000       56.979662       23.258434      12.718559      0.000000      11.625829      12.170878     14.771179
317000       57.011099       23.480899      12.867613      0.000000      11.737452      12.411123     15.039604
318000       57.042534       23.705861      13.019447      0.000000      11.850340      12.654112     15.327258
319000       57.073895       23.933370      13.174079      0.000000      11.964520      12.899791     15.599261
320000       57.105096       24.163506      13.331531      0.000000      12.080031      13.148139     15.891360
321000       57.136056       24.396340      13.491828      0.000000      12.196910      13.399112     16.168183
322000       57.166675       24.631972      13.654999      0.000000      12.315207      13.652696     16.466256
323000       57.196861       24.870490      13.821076      0.000000      12.434967      13.908854     16.749499
324000       57.226503       25.112015      13.990099      0.000000      12.556251      14.167577     17.055457
325000       57.255497       25.356655      14.162109      0.000000      12.679113      14.428827     17.347076
326000       57.283719       25.604547      14.337157      0.000000      12.803623      14.692595     17.663214
327000       57.311055       25.855814      14.515298      0.000000      12.929843      14.958835     17.965521
328000       57.337371       26.110611      14.696593      0.000000      13.057850      15.227527     18.294516
329000       57.362542       26.369076      14.881112      0.000000      13.187714      15.498609     18.610182
330000       57.386421       26.631376      15.068933      0.000000      13.319520      15.772039     18.955100
331000       57.408874       26.897659      15.260138      0.000000      13.453341      16.047724     19.287151
332000       57.429746       27.168104      15.454824      0.000000      13.589269      16.325586     19.651433
333000       57.448894       27.442865      15.653091      0.000000      13.727379      16.605484     20.003238
334000       57.466851       27.720530      15.854686      0.000000      13.866963      16.885257     20.315627
335000       57.483359       28.001362      16.059649      0.000000      14.008153      17.164917     20.678705
336000       57.497465       28.287229      16.268438      0.000000      14.151886      17.446442     21.081425
337000       57.509011       28.578298      16.481204      0.000000      14.298246      17.729559     21.473980
338000       57.517818       28.874760      16.698114      0.000000      14.447329      18.013978     21.910716
