episode,alpha_idx,action_0,action_1,action_2
13,15,250.000000,250.000000,0.000000

14,0,0.000000,249.554957,249.985997
14,1,249.573760,249.553805,249.670911
14,2,249.397767,249.570874,249.842636
14,3,249.713325,249.886996,249.986349
14,4,249.829265,249.779942,250.016960
14,5,249.763091,250.000481,250.000456
14,6,250.001168,250.000085,250.000000
14,7,250.000312,250.000000,250.000028
14,8,250.000257,250.000013,250.000000
14,9,250.000135,250.000000,250.000007
14,10,250.000037,250.000000,250.000000
14,11,250.000012,250.000007,250.000000
14,12,250.000000,250.000000,250.000000
14,13,250.000000,250.000000,250.000000
14,14,250.000000,250.000000,250.000000
14,15,250.000000,250.000000,0.000000

15,0,0.000000,249.554957,249.985997
15,1,249.573760,249.553805,249.670911
15,2,249.397767,249.570874,249.842636
15,3,249.713325,249.886996,249.986381
15,4,249.829422,249.779942,250.018436
15,5,249.770253,249.776578,250.001930
15,6,250.003239,250.000085,250.000001
15,7,250.000339,250.000000,250.000028
15,8,250.000270,250.000013,250.000000
15,9,250.000142,250.000000,250.000007
15,10,250.000037,250.000000,250.000000
15,11,250.000012,250.000007,250.000000
15,12,250.000000,250.000000,250.000000
15,13,250.000000,250.000000,250.000000
15,14,250.000000,250.000000,250.000000
15,15,250.000000,250.000000,0.000000

16,0,0.000000,249.554957,249.985997
16,1,249.573760,249.553805,249.670911
16,2,249.397767,249.570874,249.842636
16,3,249.713325,249.886996,249.986423
16,4,249.829589,249.780266,250.018302
16,5,249.773834,249.781716,249.773634
16,6,250.019668,250.000632,250.001089
16,7,250.001665,250.000000,250.000028
16,8,250.000289,250.000013,250.000000
16,9,250.000155,250.000007,250.000007
16,10,250.000037,250.000000,250.000000
16,11,250.000012,250.000007,250.000000
16,12,250.000000,250.000000,250.000000
16,13,250.000000,250.000000,250.000000
16,14,250.000000,250.000000,250.000000
16,15,250.000000,250.000000,0.000000

17,0,0.000000,249.554957,249.985997
17,1,249.573760,249.553805,249.670911
17,2,249.397767,249.570874,249.842636
17,3,249.713325,249.886996,249.986452
17,4,249.829746,249.780266,249.763642
17,5,249.781214,249.816497,249.781327
17,6,250.014603,250.000647,250.001089
17,7,250.001706,250.000000,250.000028
17,8,250.000308,250.000026,250.000000
17,9,250.000162,250.000007,250.000007
17,10,250.000037,250.000000,250.000000
17,11,250.000012,250.000007,250.000000
17,12,250.000000,250.000000,250.000000
17,13,250.000000,250.000000,250.000000
17,14,250.000000,250.000000,250.000000
17,15,250.000000,250.000000,0.000000

18,0,0.000000,249.554957,249.985997
18,1,249.573760,249.553805,249.670911
18,2,249.397767,249.570874,249.843879
18,3,249.714544,249.888124,249.962825
18,4,249.865751,249.781340,249.764467
18,5,249.782192,249.572867,249.784949
18,6,250.011711,250.000647,250.001089
18,7,250.001746,250.000000,250.000028
18,8,250.000332,250.000026,250.000000
18,9,250.000180,250.000007,250.000014
18,10,250.000050,250.000000,250.000000
18,11,250.000012,250.000007,250.000000
18,12,250.000000,250.000000,250.000000
18,13,250.000000,250.000000,250.000000
18,14,250.000000,250.000000,250.000000
18,15,250.000000,250.000000,0.000000

19,0,0.000000,249.554957,249.985725
19,1,249.574216,249.553805,249.671128
19,2,249.397987,249.570874,249.845505
19,3,249.715854,249.889029,249.956060
19,4,249.885686,249.781837,249.765002
19,5,249.783029,249.573674,249.827491
19,6,250.000460,250.001324,249.751897
19,7,250.002470,250.000013,250.000030
19,8,250.000351,250.000027,250.000000
19,9,250.000187,250.000007,250.000014
19,10,250.000050,250.000000,250.000000
19,11,250.000012,250.000007,250.000000
19,12,250.000000,250.000000,250.000000
19,13,250.000000,250.000000,250.000000
19,14,250.000000,250.000000,250.000000
19,15,250.000000,250.000000,0.000000

20,0,0.000000,249.554957,249.985725
20,1,249.574216,249.553805,249.671128
20,2,249.397987,249.570874,249.845616
20,3,249.715984,249.889096,249.955518
20,4,249.885800,249.781837,249.765088
20,5,249.783114,249.573934,249.835054
20,6,249.997630,249.791979,249.760844
20,7,250.005516,250.000114,250.000030
20,8,250.000376,250.000027,250.000000
20,9,250.000205,250.000007,250.000021
20,10,250.000063,250.000000,250.000000
20,11,250.000012,250.000007,250.000000
20,12,250.000000,250.000000,250.000000
20,13,250.000000,250.000000,250.000000
20,14,250.000000,250.000000,250.000000
20,15,250.000000,250.000000,0.000000

21,0,0.000000,249.554957,249.985725
21,1,249.574216,249.553805,249.671420
21,2,249.398378,249.570874,249.847272
21,3,249.717520,249.890199,249.948284
21,4,249.908211,249.783400,249.766008
21,5,249.784302,249.575668,249.605471
21,6,249.974243,249.793422,249.763864
21,7,250.004826,250.000119,250.000030
21,8,250.000394,250.000027,250.000000
21,9,250.000212,250.000007,250.000021
21,10,250.000063,250.000000,250.000000
21,11,250.000012,250.000007,250.000000
21,12,250.000000,250.000000,250.000000
21,13,250.000000,250.000000,250.000000
21,14,250.000000,250.000000,250.000000
21,15,250.000000,250.000000,0.000000

22,0,0.000000,249.554957,249.985725
22,1,249.574216,249.553805,249.671420
22,2,249.398378,249.571152,249.599074
22,3,249.719804,249.891097,249.945556
22,4,249.928371,249.784535,249.766572
22,5,249.786821,249.575668,249.605471
22,6,249.974077,249.793422,249.763864
22,7,250.004814,250.000119,250.000030
22,8,250.000411,250.000027,250.000000
22,9,250.000219,250.000007,250.000021
22,10,250.000063,250.000000,250.000000
22,11,250.000012,250.000007,250.000000
22,12,250.000000,250.000000,250.000000
22,13,250.000000,250.000000,250.000000
22,14,250.000000,250.000000,250.000000
22,15,250.000000,250.000000,0.000000

23,0,0.000000,249.554957,249.985725
23,1,249.574216,249.553805,249.671420
23,2,249.398378,249.571184,249.604350
23,3,249.719282,249.892340,249.696568
23,4,249.941281,249.787317,249.767044
23,5,249.790274,249.575881,249.605839
23,6,249.973728,249.793422,249.763864
23,7,250.004801,250.000119,250.000030
23,8,250.000429,250.000027,250.000000
23,9,250.000226,250.000007,250.000021
23,10,250.000064,250.000000,250.000000
23,11,250.000012,250.000007,250.000000
23,12,250.000000,250.000000,250.000000
23,13,250.000000,250.000000,250.000000
23,14,250.000000,250.000000,250.000000
23,15,250.000000,250.000000,0.000000

24,0,0.000000,249.554957,249.985725
24,1,249.574216,249.553805,249.671525
24,2,249.398808,249.571184,249.624249
24,3,249.722890,249.833721,249.708049
24,4,249.948166,249.787975,249.767979
24,5,249.791829,249.575881,249.606731
24,6,249.973910,249.793422,249.763864
24,7,250.004789,250.000119,250.000030
24,8,250.000446,250.000027,250.000000
24,9,250.000234,250.000007,250.000021
24,10,250.000064,250.000000,250.000000
24,11,250.000012,250.000007,250.000000
24,12,250.000000,250.000000,250.000000
24,13,250.000000,250.000000,250.000000
24,14,250.000000,250.000000,250.000000
24,15,250.000000,250.000000,0.000000

25,0,0.000000,249.554957,249.985725
25,1,249.574216,249.553805,249.671480
25,2,249.399081,249.571184,249.641721
25,3,249.727566,249.781289,249.719194
25,4,249.951728,249.787975,249.767979
25,5,249.792018,249.575881,249.606731
25,6,249.973755,249.793422,249.763864
25,7,250.004781,250.000119,250.000030
25,8,250.000468,250.000027,250.000000
