Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
9801, 0.98, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, 392.15, 1798.06, -1629.37, 162.94, 0
9153, 0.92, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 392.11, 2053.79, -1861.68, 186.17, 0
8582, 0.86, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 391.99, 2327.60, -2110.41, 211.04, 0
8076, 0.81, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 392.12, 2620.34, -2376.34, 237.63, 0
7624, 0.76, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 391.88, 2931.78, -2659.26, 265.93, 0
7218, 0.72, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 391.75, 3268.32, -2965.07, 296.51, 0
6852, 0.69, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 392.00, 3628.14, -3292.06, 329.21, 0
6520, 0.65, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, 391.98, 4009.44, -3638.60, 363.86, 0
6218, 0.62, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, 392.24, 4412.75, -4005.17, 400.52, 0
34689, 3.47, 40.00, -4.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -63.02, 72.63, 1.45, 0
39370, 3.94, 40.00, -4.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -36.21, 42.42, 0.85, 0
46518, 4.65, 40.00, -4.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, -20.14, 25.11, 0.50, 0
64413, 6.44, 40.00, -4.00, 0.79, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.40, -9.41, 15.00, 0.30, 0
2000000, 200.00, 40.00, -4.00, 0.79, 0.57, 0.39, -0.00, 9.00, 0.00, -10.68, 16.57, -19.68, 16.57, 338.24, 99.96, 101.38, 2.03, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.00, -0.13, 0.00, 11.00, 0.00, 5.52, -3.53, -5.48, -3.53, 396.26, -4.58, 6.51, 0.13, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.47, 0.08, 0.00, 13.00, 0.00, -3.75, 0.39, -16.75, 0.39, 359.16, 33.42, 42.96, 0.86, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.53, -0.02, -0.00, 15.00, 0.00, 1.23, -0.05, -13.77, -0.05, 373.15, 19.26, 29.04, 0.58, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.53, 0.00, 0.00, 17.00, 0.00, -0.01, 0.00, -17.01, 0.00, 357.94, 34.49, 44.30, 0.89, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.54, 0.00, -0.00, 19.00, 0.00, -0.02, 0.00, -19.02, 0.00, 346.85, 45.57, 55.37, 1.11, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, -0.00, 0.00, 21.00, 0.00, 0.09, -0.00, -20.91, -0.00, 335.28, 57.14, 66.94, 1.34, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, -0.00, 0.00, 23.00, 0.00, 0.08, -0.00, -22.92, -0.00, 321.76, 70.66, 80.45, 1.61, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 25.00, 0.00, -0.01, 0.00, -25.01, 0.00, 306.44, 85.98, 95.77, 1.92, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, -0.00, 27.00, 0.00, -0.02, 0.00, -27.02, 0.00, 290.41, 102.02, 111.80, 2.24, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, -0.00, -0.00, 29.00, 0.00, 0.01, -0.00, -28.99, -0.00, 273.45, 118.97, 128.70, 2.57, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, -0.00, 0.00, 31.00, 0.00, 0.00, -0.00, -31.00, -0.00, 255.13, 137.30, 147.14, 2.94, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 33.00, 0.00, -0.00, 0.00, -33.00, 0.00, 235.47, 156.96, 166.79, 3.34, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, -0.00, -0.00, 35.00, 0.00, 0.00, -0.00, -35.00, -0.00, 214.61, 177.83, 187.56, 3.75, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 37.00, 0.00, -0.00, 0.00, -37.00, 0.00, 192.62, 199.82, 209.63, 4.19, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 39.00, 0.00, -0.00, 0.00, -39.00, 0.00, 169.34, 223.11, 232.90, 4.66, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, -0.00, 0.00, 41.00, 0.00, 0.00, -0.00, -41.00, -0.00, 144.84, 247.61, 257.40, 5.15, 1
45530, 4.55, 40.00, -2.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -86.23, 89.62, 2.24, 0
80864, 8.09, 40.00, -2.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -13.55, 17.20, 0.43, 0
2000000, 200.00, 40.00, -2.00, 0.79, 2.01, 0.00, 0.00, 5.00, 0.00, -0.18, -0.08, -5.18, -0.08, 387.03, 5.93, 16.42, 0.41, 0
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, -0.00, 0.00, 7.00, 0.00, 0.01, -0.00, -6.99, -0.00, 372.27, 20.15, 29.94, 0.75, 0
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, -0.00, 9.00, 0.00, -0.00, 0.00, -9.00, 0.00, 352.59, 39.83, 49.62, 1.24, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, -0.00, 0.00, 11.00, 0.00, 0.00, -0.00, -11.00, -0.00, 328.10, 64.33, 74.11, 1.85, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, 0.00, 13.00, 0.00, -0.00, 0.00, -13.00, 0.00, 298.70, 93.74, 103.51, 2.59, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, -0.00, -0.00, 15.00, 0.00, 0.00, -0.00, -15.00, -0.00, 264.33, 128.12, 137.81, 3.45, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, -0.00, -0.00, 17.00, 0.00, 0.00, -0.00, -17.00, -0.00, 225.14, 167.32, 177.01, 4.43, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 181.15, 211.32, 221.11, 5.53, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, 132.14, 260.35, 270.11, 6.75, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 78.22, 314.28, 324.01, 8.10, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, -0.00, 0.14, 25.00, 0.00, 0.14, -0.00, -24.86, -0.00, 23.76, 368.76, 378.45, 9.46, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, -0.00, -0.00, 27.00, 0.00, 0.00, -0.00, -27.00, -0.00, -44.31, 436.85, 446.51, 11.16, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, -112.86, 505.43, 515.11, 12.88, 1
