Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Liftz,Liftz,Drag,Dragx,Dragz,Stability
13541, 1.35, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 392.29, 955.91, -864.29, 86.43, 0
12385, 1.24, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 392.34, 1139.25, -1030.86, 103.09, 0
11396, 1.14, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, 392.40, 1340.48, -1213.67, 121.37, 0
10543, 1.05, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 392.32, 1559.50, -1412.64, 141.26, 0
9802, 0.98, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, 392.17, 1796.51, -1627.94, 162.79, 0
9154, 0.92, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 392.12, 2051.86, -1859.91, 185.99, 0
8583, 0.86, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 392.03, 2325.39, -2108.39, 210.84, 0
8077, 0.81, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 392.13, 2617.54, -2373.77, 237.38, 0
7625, 0.76, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 391.90, 2928.44, -2656.20, 265.62, 0
7219, 0.72, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 391.77, 3264.38, -2961.45, 296.14, 0
6853, 0.69, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 392.03, 3623.56, -3287.85, 328.79, 0
6521, 0.65, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, 392.03, 4004.11, -3633.71, 363.37, 0
6219, 0.62, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, 392.24, 4406.45, -3999.37, 399.94, 0
34688, 3.47, 40.00, -4.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -63.03, 72.64, 1.45, 0
39369, 3.94, 40.00, -4.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -36.21, 42.42, 0.85, 0
46517, 4.65, 40.00, -4.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, -20.14, 25.11, 0.50, 0
64411, 6.44, 40.00, -4.00, 0.79, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.40, -9.41, 15.00, 0.30, 0
2000000, 200.00, 40.00, -4.00, 0.79, 0.58, 0.00, 0.00, 9.00, 0.00, -11.06, 16.84, -20.06, 16.84, 335.37, 103.90, 104.99, 2.10, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.00, 0.00, 0.00, 11.00, 0.00, 5.51, -3.54, -5.49, -3.54, 396.25, -4.57, 6.52, 0.13, 0
2000000, 200.00, 40.00, -4.00, 0.79, 1.47, 0.00, -0.00, 13.00, 0.00, -3.76, 0.38, -16.76, 0.38, 359.09, 33.48, 43.02, 0.86, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.53, 0.00, 0.00, 15.00, 0.00, 1.23, -0.05, -13.77, -0.05, 373.14, 19.28, 29.05, 0.58, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.53, 0.00, -0.00, 17.00, 0.00, -0.01, 0.00, -17.01, 0.00, 357.92, 34.50, 44.31, 0.89, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.54, 0.00, 0.00, 19.00, 0.00, -0.02, 0.00, -19.02, 0.00, 346.84, 45.58, 55.38, 1.11, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, -0.00, 21.00, 0.00, 0.09, -0.00, -20.91, -0.00, 335.27, 57.14, 66.94, 1.34, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 23.00, 0.00, 0.08, -0.00, -22.92, -0.00, 321.75, 70.66, 80.45, 1.61, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 25.00, 0.00, -0.01, 0.00, -25.01, 0.00, 306.44, 85.98, 95.77, 1.92, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 27.00, 0.00, -0.02, 0.00, -27.02, 0.00, 290.41, 102.02, 111.80, 2.24, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, -0.00, 29.00, 0.00, 0.01, -0.00, -28.99, -0.00, 273.51, 118.92, 128.70, 2.57, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 31.00, 0.00, 0.00, -0.00, -31.00, -0.00, 255.07, 137.36, 147.14, 2.94, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 33.00, 0.00, -0.00, 0.00, -33.00, 0.00, 235.42, 157.01, 166.79, 3.34, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, -0.00, 35.00, 0.00, 0.00, -0.00, -35.00, -0.00, 214.65, 177.79, 187.56, 3.75, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, -0.00, 37.00, 0.00, -0.00, -0.00, -37.00, -0.00, 192.58, 199.87, 209.63, 4.19, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, 0.00, 39.00, 0.00, -0.00, -0.00, -39.00, -0.00, 169.31, 223.14, 232.90, 4.66, 1
2000000, 200.00, 40.00, -4.00, 0.79, 1.55, 0.00, -0.00, 41.00, 0.00, 0.00, -0.00, -41.00, -0.00, 144.81, 247.64, 257.40, 5.15, 1
45527, 4.55, 40.00, -2.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -86.25, 89.65, 2.24, 0
80862, 8.09, 40.00, -2.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -13.55, 17.20, 0.43, 0
2000000, 200.00, 40.00, -2.00, 0.79, 2.01, 0.00, -0.00, 5.00, 0.00, 0.12, 0.06, -4.88, 0.06, 388.70, 4.08, 14.57, 0.36, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, 0.00, 7.00, 0.00, 0.01, -0.00, -6.99, -0.00, 372.27, 20.14, 29.94, 0.75, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, -0.00, 9.00, 0.00, -0.00, 0.00, -9.00, 0.00, 352.59, 39.83, 49.62, 1.24, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, 0.00, 11.00, 0.00, 0.00, -0.00, -11.00, -0.00, 328.10, 64.33, 74.11, 1.85, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, 0.00, 13.00, 0.00, -0.00, -0.00, -13.00, -0.00, 298.70, 93.74, 103.51, 2.59, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, -0.00, 15.00, 0.00, -0.00, -0.00, -15.00, -0.00, 264.40, 128.05, 137.81, 3.45, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.54, 0.00, -0.00, 17.00, 0.00, -0.00, -0.00, -17.00, -0.00, 225.20, 167.26, 177.01, 4.43, 1
