step,x_kite,y_kite,z_kite,x_block,y_block,z_block,windx,windy,windz,v_blockx,v_blocky,alpha,alpha_action,mu,mu_action,reward,Q_value
26000,39.140735,0.0,44.722402,16.782139,0.0,0.0,10.0,0.0,0.0,6.391385,0.0,20.0,1,0.0,1,0.639139,896.0282050000001
27000,39.425090999999995,0.0,44.896751,17.418689999999998,0.0,0.0,10.0,0.0,0.0,6.339125,0.0,20.0,1,0.0,1,0.633912,896.0345960000001
28000,39.708733,0.0,45.065431,18.049857,0.0,0.0,10.0,0.0,0.0,6.2838080000000005,0.0,20.0,1,0.0,1,0.6283810000000001,896.040935
29000,39.991279999999996,0.0,45.228658,18.675359,0.0,0.0,10.0,0.0,0.0,6.225906,0.0,20.0,1,0.0,1,0.622591,896.0472189999999
30000,40.272385,0.0,45.386646,19.29496,0.0,0.0,10.0,0.0,0.0,6.165846,0.0,20.0,1,0.0,1,0.616585,896.0534449999999
31000,40.551763,0.0,45.539589,19.908462,0.0,0.0,10.0,0.0,0.0,6.103983,0.0,20.0,1,0.0,1,0.610398,896.0596109999999
32000,40.829202,0.0,45.687653000000005,20.5157,0.0,0.0,10.0,0.0,0.0,6.040593,0.0,20.0,1,0.0,1,0.604059,896.0657150000001
33000,41.10456,0.0,45.83098,21.116531,0.0,0.0,10.0,0.0,0.0,5.975876,0.0,20.0,1,0.0,1,0.597588,896.071755
34000,41.377761,0.0,45.969683,21.710829,0.0,0.0,10.0,0.0,0.0,5.909962,0.0,20.0,1,0.0,1,0.590996,896.0777310000001
35000,41.648782000000004,0.0,46.103859,22.298479,0.0,0.0,10.0,0.0,0.0,5.842932,0.0,20.0,1,0.0,1,0.5842930000000001,896.0836410000001
36000,41.917636,0.0,46.233587,22.879372,0.0,0.0,10.0,0.0,0.0,5.774824,0.0,20.0,1,0.0,1,0.5774819999999999,896.089484
37000,42.184365,0.0,46.358937,23.453402,0.0,0.0,10.0,0.0,0.0,5.705652,0.0,20.0,1,0.0,1,0.570565,896.0952589999999
38000,42.449028000000006,0.0,46.479973,24.02046,0.0,0.0,10.0,0.0,0.0,5.635415,0.0,20.0,1,0.0,1,0.563542,896.1009640000001
39000,42.711689,0.0,46.596758,24.580442,0.0,0.0,10.0,0.0,0.0,5.564106,0.0,20.0,1,0.0,1,0.556411,896.1065990000001
40000,42.972414,0.0,46.709355,25.133238000000002,0.0,0.0,10.0,0.0,0.0,5.4917169999999995,0.0,20.0,1,0.0,1,0.549172,896.1121630000001
41000,43.231266,0.0,46.817827,25.678742,0.0,0.0,10.0,0.0,0.0,5.418245,0.0,20.0,1,0.0,1,0.541824,896.1176550000001
42000,43.4883,0.0,46.922242,26.216844000000002,0.0,0.0,10.0,0.0,0.0,5.343694999999999,0.0,20.0,1,0.0,1,0.534369,896.1230730000001
43000,43.743565000000004,0.0,47.022672,26.747438,0.0,0.0,10.0,0.0,0.0,5.26808,0.0,20.0,1,0.0,1,0.5268079999999999,896.128417
44000,43.9971,0.0,47.11919,27.270418,0.0,0.0,10.0,0.0,0.0,5.191422,0.0,20.0,1,0.0,1,0.519142,896.133685
45000,44.248933,0.0,47.211877,27.785681,0.0,0.0,10.0,0.0,0.0,5.113751000000001,0.0,20.0,1,0.0,1,0.511375,896.138876
46000,44.499087,0.0,47.300813,28.293127000000002,0.0,0.0,10.0,0.0,0.0,5.035107,0.0,20.0,1,0.0,1,0.5035109999999999,896.14399
47000,44.747575,0.0,47.386082,28.792663,0.0,0.0,10.0,0.0,0.0,4.955535,0.0,20.0,1,0.0,1,0.495554,896.149025
48000,44.994402,0.0,47.467773,29.284197,0.0,0.0,10.0,0.0,0.0,4.875091,0.0,20.0,1,0.0,1,0.487509,896.15398
49000,45.239567,0.0,47.545974,29.767646000000003,0.0,0.0,10.0,0.0,0.0,4.793832,0.0,20.0,1,0.0,1,0.479383,896.1588550000001
50000,45.483063,0.0,47.620777000000004,30.242931,0.0,0.0,10.0,0.0,0.0,4.711825,0.0,20.0,1,0.0,1,0.471183,896.1636490000001
51000,45.724875,0.0,47.692273,30.709979999999998,0.0,0.0,10.0,0.0,0.0,4.6291400000000005,0.0,20.0,1,0.0,1,0.46291400000000005,896.1683609999999
52000,45.964984,0.0,47.760558,31.16873,0.0,0.0,10.0,0.0,0.0,4.54585,0.0,20.0,1,0.0,1,0.454585,896.17299
53000,46.203367,0.0,47.825724,31.619124,0.0,0.0,10.0,0.0,0.0,4.462036,0.0,20.0,1,0.0,1,0.446204,896.1775359999999
54000,46.439993,0.0,47.887867,32.061114,0.0,0.0,10.0,0.0,0.0,4.377779,0.0,20.0,1,0.0,1,0.437778,896.181998
55000,46.67483,0.0,47.947083,32.494659999999996,0.0,0.0,10.0,0.0,0.0,4.293165,0.0,20.0,1,0.0,1,0.429316,896.186375
56000,46.907839,0.0,48.003467,32.91973,0.0,0.0,10.0,0.0,0.0,4.208283,0.0,20.0,1,0.0,1,0.420828,896.190668
57000,47.138978,0.0,48.057113,33.336302,0.0,0.0,10.0,0.0,0.0,4.123224,0.0,20.0,1,0.0,1,0.412322,896.1948769999999
58000,47.368203,0.0,48.108118,33.744363,0.0,0.0,10.0,0.0,0.0,4.038082,0.0,20.0,1,0.0,1,0.403808,896.199
59000,47.595465000000004,0.0,48.156575,34.14391,0.0,0.0,10.0,0.0,0.0,3.952953,0.0,20.0,1,0.0,1,0.395295,896.2030380000001
60000,47.820710999999996,0.0,48.202578,34.534949,0.0,0.0,10.0,0.0,0.0,3.8679330000000003,0.0,20.0,1,0.0,1,0.386793,896.206991
61000,48.043890000000005,0.0,48.24622,34.917495,0.0,0.0,10.0,0.0,0.0,3.783122,0.0,20.0,1,0.0,1,0.378312,896.210858
62000,48.264944,0.0,48.287594,35.291575,0.0,0.0,10.0,0.0,0.0,3.6986190000000003,0.0,20.0,1,0.0,1,0.36986199999999997,896.214642
63000,48.483818,0.0,48.326789,35.657224,0.0,0.0,10.0,0.0,0.0,3.614522,0.0,20.0,1,0.0,1,0.361452,896.21834
64000,48.700453,0.0,48.363895,36.014488,0.0,0.0,10.0,0.0,0.0,3.530933,0.0,20.0,1,0.0,1,0.353093,896.2219550000001
65000,48.914792,0.0,48.398998999999996,36.363423,0.0,0.0,10.0,0.0,0.0,3.4479480000000002,0.0,20.0,1,0.0,1,0.34479499999999996,896.2254849999999
66000,49.126777000000004,0.0,48.432189,36.704093,0.0,0.0,10.0,0.0,0.0,3.3656660000000005,0.0,20.0,1,0.0,1,0.336567,896.228933
67000,49.336351,0.0,48.463547999999996,37.036574,0.0,0.0,10.0,0.0,0.0,3.284183,0.0,20.0,1,0.0,1,0.328418,896.232299
68000,49.543459999999996,0.0,48.493159000000006,37.360951,0.0,0.0,10.0,0.0,0.0,3.203592,0.0,20.0,1,0.0,1,0.320359,896.235583
69000,49.748049,0.0,48.521103000000004,37.677318,0.0,0.0,10.0,0.0,0.0,3.123986,0.0,20.0,1,0.0,1,0.312399,896.2387859999999
70000,49.950069,0.0,48.547458,37.985776,0.0,0.0,10.0,0.0,0.0,3.045452,0.0,20.0,1,0.0,1,0.30454499999999995,896.24191
71000,50.149473,0.0,48.572301,38.286439,0.0,0.0,10.0,0.0,0.0,2.968074,0.0,20.0,1,0.0,1,0.29680700000000004,896.244956
72000,50.346216999999996,0.0,48.595706,38.579425,0.0,0.0,10.0,0.0,0.0,2.891934,0.0,20.0,1,0.0,1,0.289193,896.247924
73000,50.540261,0.0,48.617744,38.864862,0.0,0.0,10.0,0.0,0.0,2.817107,0.0,20.0,1,0.0,1,0.281711,896.250816
74000,50.731571,0.0,48.638486,39.142885,0.0,0.0,10.0,0.0,0.0,2.743666,0.0,20.0,1,0.0,1,0.274367,896.253633
75000,50.920117,0.0,48.657999,39.413636,0.0,0.0,10.0,0.0,0.0,2.671677,0.0,20.0,1,0.0,1,0.26716799999999996,896.2563759999999
76000,51.105875,0.0,48.676348,39.677264,0.0,0.0,10.0,0.0,0.0,2.6012009999999997,0.0,20.0,1,0.0,1,0.26011999999999996,896.259048
77000,51.288827000000005,0.0,48.693594,39.933921999999995,0.0,0.0,10.0,0.0,0.0,2.532294,0.0,20.0,1,0.0,1,0.253229,896.261649
78000,51.468958,0.0,48.709799,40.18377,0.0,0.0,10.0,0.0,0.0,2.465005,0.0,20.0,1,0.0,1,0.24650100000000003,896.264181
79000,51.646263,0.0,48.725019,40.426971,0.0,0.0,10.0,0.0,0.0,2.399379,0.0,20.0,1,0.0,1,0.239938,896.266646
80000,51.820739,0.0,48.739309999999996,40.663696,0.0,0.0,10.0,0.0,0.0,2.335452,0.0,20.0,1,0.0,1,0.23354499999999997,896.2690449999999
81000,51.992391999999995,0.0,48.752725,40.894113,0.0,0.0,10.0,0.0,0.0,2.2732580000000002,0.0,20.0,1,0.0,1,0.22732600000000003,896.271381
82000,52.161232,0.0,48.765314000000004,41.1184,0.0,0.0,10.0,0.0,0.0,2.212821,0.0,20.0,1,0.0,1,0.221282,896.273654
83000,52.327277,0.0,48.777125,41.336731,0.0,0.0,10.0,0.0,0.0,2.154162,0.0,20.0,1,0.0,1,0.215416,896.275867
84000,52.490548,0.0,48.788203,41.549285999999995,0.0,0.0,10.0,0.0,0.0,2.0972939999999998,0.0,20.0,1,0.0,1,0.209729,896.2780210000001
85000,52.651073,0.0,48.798593,41.756244,0.0,0.0,10.0,0.0,0.0,2.042225,0.0,20.0,1,0.0,1,0.20422200000000001,896.280118
86000,52.808885,0.0,48.808336,41.957785,0.0,0.0,10.0,0.0,0.0,1.9889580000000002,0.0,20.0,1,0.0,1,0.19889600000000002,896.28216
87000,52.964022,0.0,48.81747,42.154090000000004,0.0,0.0,10.0,0.0,0.0,1.937491,0.0,20.0,1,0.0,1,0.193749,896.2841490000001
88000,53.116527000000005,0.0,48.826033,42.345338,0.0,0.0,10.0,0.0,0.0,1.8878150000000002,0.0,20.0,1,0.0,1,0.188782,896.286087
89000,53.266445,0.0,48.83406,42.531708,0.0,0.0,10.0,0.0,0.0,1.8399189999999999,0.0,20.0,1,0.0,1,0.18399200000000002,896.2879740000001
90000,53.413828,0.0,48.841584000000005,42.713376000000004,0.0,0.0,10.0,0.0,0.0,1.793784,0.0,20.0,1,0.0,1,0.179378,896.2898140000001
91000,53.558730000000004,0.0,48.848636,42.890518,0.0,0.0,10.0,0.0,0.0,1.7493900000000002,0.0,20.0,1,0.0,1,0.174939,896.291608
92000,53.701207,0.0,48.855246,43.063307,0.0,0.0,10.0,0.0,0.0,1.7067130000000001,0.0,20.0,1,0.0,1,0.17067100000000002,896.293357
93000,53.84131899999999,0.0,48.861442,43.231913,0.0,0.0,10.0,0.0,0.0,1.6657220000000001,0.0,20.0,1,0.0,1,0.166572,896.295064
94000,53.979128,0.0,48.867249,43.396503,0.0,0.0,10.0,0.0,0.0,1.6263889999999999,0.0,20.0,1,0.0,1,0.162639,896.29673
95000,54.114699,0.0,48.872692,43.557241,0.0,0.0,10.0,0.0,0.0,1.588676,0.0,20.0,1,0.0,1,0.158868,896.298356
96000,54.248096999999994,0.0,48.877795,43.714287,0.0,0.0,10.0,0.0,0.0,1.55255,0.0,20.0,1,0.0,1,0.155255,896.299945
97000,54.379389,0.0,48.882578,43.867799,0.0,0.0,10.0,0.0,0.0,1.5179690000000001,0.0,20.0,1,0.0,1,0.15179700000000002,896.301497
98000,54.508641000000004,0.0,48.887063,44.017928000000005,0.0,0.0,10.0,0.0,0.0,1.4848940000000002,0.0,20.0,1,0.0,1,0.148489,896.3030150000001
99000,54.635923,0.0,48.891268,44.164823,0.0,0.0,10.0,0.0,0.0,1.453284,0.0,20.0,1,0.0,1,0.14532799999999998,896.3045
100000,54.761302,0.0,48.895210999999996,44.308628999999996,0.0,0.0,10.0,0.0,0.0,1.423094,0.0,20.0,1,0.0,1,0.142309,896.3059529999999
101000,54.884845999999996,0.0,48.898908,44.449484999999996,0.0,0.0,10.0,0.0,0.0,1.3942809999999999,0.0,20.0,1,0.0,1,0.139428,896.307376
102000,55.006624,0.0,48.902376000000004,44.587526000000004,0.0,0.0,10.0,0.0,0.0,1.3667989999999999,0.0,20.0,1,0.0,1,0.13668,896.3087710000001
103000,55.126703000000006,0.0,48.905629,44.722885,0.0,0.0,10.0,0.0,0.0,1.3406049999999998,0.0,20.0,1,0.0,1,0.13406099999999999,896.3101369999999
104000,55.245149,0.0,48.908681,44.855686,0.0,0.0,10.0,0.0,0.0,1.315653,0.0,20.0,1,0.0,1,0.13156500000000002,896.311478
105000,55.362028,0.0,48.911544,44.986053000000005,0.0,0.0,10.0,0.0,0.0,1.2918969999999999,0.0,20.0,1,0.0,1,0.12919,896.3127929999999
106000,55.47740400000001,0.0,48.914231,45.114102,0.0,0.0,10.0,0.0,0.0,1.269293,0.0,20.0,1,0.0,1,0.126929,896.314085
107000,55.59134,0.0,48.916752,45.239946,0.0,0.0,10.0,0.0,0.0,1.247796,0.0,20.0,1,0.0,1,0.12478,896.3153550000001
108000,55.703897999999995,0.0,48.919119,45.363694,0.0,0.0,10.0,0.0,0.0,1.227363,0.0,20.0,1,0.0,1,0.12273599999999998,896.316602
109000,55.815139,0.0,48.92134,45.485451,0.0,0.0,10.0,0.0,0.0,1.207949,0.0,20.0,1,0.0,1,0.120795,896.3178300000001
110000,55.925121,0.0,48.923426,45.605315000000004,0.0,0.0,10.0,0.0,0.0,1.1895129999999998,0.0,20.0,1,0.0,1,0.118951,896.3190380000001
111000,56.0339,0.0,48.925384,45.723383,0.0,0.0,10.0,0.0,0.0,1.172013,0.0,20.0,1,0.0,1,0.117201,896.3202269999999
112000,56.141532999999995,0.0,48.927223,45.839746000000005,0.0,0.0,10.0,0.0,0.0,1.155408,0.0,20.0,1,0.0,1,0.115541,896.321399
113000,56.248072,0.0,48.928951,45.954491,0.0,0.0,10.0,0.0,0.0,1.139659,0.0,20.0,1,0.0,1,0.11396600000000001,896.3225550000001
114000,56.35356899999999,0.0,48.930572999999995,46.067703,0.0,0.0,10.0,0.0,0.0,1.124727,0.0,20.0,1,0.0,1,0.112473,896.3236939999999
115000,56.458073999999996,0.0,48.932097,46.179460999999996,0.0,0.0,10.0,0.0,0.0,1.110574,0.0,20.0,1,0.0,1,0.11105699999999999,896.3248189999999
116000,56.561634999999995,0.0,48.933529,46.289842,0.0,0.0,10.0,0.0,0.0,1.097165,0.0,20.0,1,0.0,1,0.10971700000000001,896.3259289999999
117000,56.664297999999995,0.0,48.934875,46.398917,0.0,0.0,10.0,0.0,0.0,1.084465,0.0,20.0,1,0.0,1,0.108447,896.3270269999999
118000,56.766107999999996,0.0,48.936139000000004,46.506756,0.0,0.0,10.0,0.0,0.0,1.072439,0.0,20.0,1,0.0,1,0.107244,896.3281109999999
119000,56.867107,0.0,48.937327,46.613425,0.0,0.0,10.0,0.0,0.0,1.061056,0.0,20.0,1,0.0,1,0.10610599999999999,896.3291839999999
120000,56.967335999999996,0.0,48.938444,46.718986,0.0,0.0,10.0,0.0,0.0,1.050283,0.0,20.0,1,0.0,1,0.105028,896.3302449999999
121000,57.066834,0.0,48.939494,46.8235,0.0,0.0,10.0,0.0,0.0,1.0400909999999999,0.0,20.0,1,0.0,1,0.10400899999999999,896.331295
122000,57.165638,0.0,48.940481,46.927021999999994,0.0,0.0,10.0,0.0,0.0,1.03045,0.0,20.0,1,0.0,1,0.103045,896.332335
123000,57.263785,0.0,48.94141,47.029606,0.0,0.0,10.0,0.0,0.0,1.021334,0.0,20.0,1,0.0,1,0.102133,896.3333650000001
124000,57.361309,0.0,48.942282,47.131304,0.0,0.0,10.0,0.0,0.0,1.012714,0.0,20.0,1,0.0,1,0.101271,896.3343869999999
125000,57.458242000000006,0.0,48.943103,47.232164000000004,0.0,0.0,10.0,0.0,0.0,1.004567,0.0,20.0,1,0.0,1,0.100457,896.335399
126000,57.554615000000005,0.0,48.943875,47.332232,0.0,0.0,10.0,0.0,0.0,0.9968670000000001,0.0,20.0,1,0.0,1,0.099687,896.3364039999999
127000,57.650456999999996,0.0,48.944601,47.431551,0.0,0.0,10.0,0.0,0.0,0.989592,0.0,20.0,1,0.0,1,0.098959,896.337401
128000,57.745798,0.0,48.945284,47.530163,0.0,0.0,10.0,0.0,0.0,0.982719,0.0,20.0,1,0.0,1,0.098272,896.33839
129000,57.840664000000004,0.0,48.945926,47.628107,0.0,0.0,10.0,0.0,0.0,0.9762270000000001,0.0,20.0,1,0.0,1,0.097623,896.339373
130000,57.935081000000004,0.0,48.946529999999996,47.72542,0.0,0.0,10.0,0.0,0.0,0.970095,0.0,20.0,1,0.0,1,0.09701,896.3403490000001
131000,58.029072,0.0,48.947099,47.822137,0.0,0.0,10.0,0.0,0.0,0.964306,0.0,20.0,1,0.0,1,0.09643099999999999,896.341319
132000,58.122661,0.0,48.947634,47.918290999999996,0.0,0.0,10.0,0.0,0.0,0.958839,0.0,20.0,1,0.0,1,0.095884,896.342284
133000,58.215869999999995,0.0,48.948137,48.013914,0.0,0.0,10.0,0.0,0.0,0.953679,0.0,20.0,1,0.0,1,0.095368,896.3432429999999
134000,58.308718999999996,0.0,48.948609999999995,48.109035999999996,0.0,0.0,10.0,0.0,0.0,0.948808,0.0,20.0,1,0.0,1,0.094881,896.3441960000001
135000,58.401229,0.0,48.949056,48.203684,0.0,0.0,10.0,0.0,0.0,0.944211,0.0,20.0,1,0.0,1,0.094421,896.3451449999999
136000,58.493417,0.0,48.949475,48.297886,0.0,0.0,10.0,0.0,0.0,0.939873,0.0,20.0,1,0.0,1,0.093987,896.346089
137000,58.585303,0.0,48.949870000000004,48.391667,0.0,0.0,10.0,0.0,0.0,0.9357790000000001,0.0,20.0,1,0.0,1,0.093578,896.3470289999999
138000,58.676901,0.0,48.950241999999996,48.485049,0.0,0.0,10.0,0.0,0.0,0.931917,0.0,20.0,1,0.0,1,0.093192,896.347965
139000,58.76823,0.0,48.950590999999996,48.578057,0.0,0.0,10.0,0.0,0.0,0.9282739999999999,0.0,20.0,1,0.0,1,0.09282699999999999,896.3488970000001
140000,58.859302,0.0,48.95092,48.670711,0.0,0.0,10.0,0.0,0.0,0.9248360000000001,0.0,20.0,1,0.0,1,0.092484,896.349825
141000,58.950134,0.0,48.951229999999995,48.76303,0.0,0.0,10.0,0.0,0.0,0.921594,0.0,20.0,1,0.0,1,0.092159,896.35075
142000,59.040737,0.0,48.951522,48.855035,0.0,0.0,10.0,0.0,0.0,0.918537,0.0,20.0,1,0.0,1,0.09185399999999999,896.3516710000001
143000,59.131126,0.0,48.951796,48.946743,0.0,0.0,10.0,0.0,0.0,0.915653,0.0,20.0,1,0.0,1,0.091565,896.3525900000001
144000,59.221311,0.0,48.952055,49.038171000000006,0.0,0.0,10.0,0.0,0.0,0.912933,0.0,20.0,1,0.0,1,0.091293,896.353506
145000,59.31130600000001,0.0,48.952298,49.129335,0.0,0.0,10.0,0.0,0.0,0.9103690000000001,0.0,20.0,1,0.0,1,0.091037,896.3544189999999
146000,59.401118999999994,0.0,48.952527,49.220249,0.0,0.0,10.0,0.0,0.0,0.9079510000000001,0.0,20.0,1,0.0,1,0.090795,896.3553289999999
147000,59.490762,0.0,48.952743,49.310928999999994,0.0,0.0,10.0,0.0,0.0,0.9056709999999999,0.0,20.0,1,0.0,1,0.090567,896.356237
148000,59.58024399999999,0.0,48.952946000000004,49.401388,0.0,0.0,10.0,0.0,0.0,0.9035209999999999,0.0,20.0,1,0.0,1,0.090352,896.357143
149000,59.669574,0.0,48.953137,49.491637,0.0,0.0,10.0,0.0,0.0,0.901495,0.0,20.0,1,0.0,1,0.090149,896.3580460000001
150000,59.758762,0.0,48.953317,49.58169,0.0,0.0,10.0,0.0,0.0,0.899584,0.0,20.0,1,0.0,1,0.08995800000000001,896.358948
151000,59.847814,0.0,48.953486,49.671558000000005,0.0,0.0,10.0,0.0,0.0,0.897783,0.0,20.0,1,0.0,1,0.089778,896.3598470000001
152000,59.936739,0.0,48.953646,49.76125,0.0,0.0,10.0,0.0,0.0,0.896086,0.0,20.0,1,0.0,1,0.08960900000000001,896.360745
153000,60.025544,0.0,48.953796000000004,49.850778000000005,0.0,0.0,10.0,0.0,0.0,0.894486,0.0,20.0,1,0.0,1,0.089449,896.361641
154000,60.114235,0.0,48.953936999999996,49.94015,0.0,0.0,10.0,0.0,0.0,0.892978,0.0,20.0,1,0.0,1,0.089298,896.362535
155000,60.202819999999996,0.0,48.954071,50.029376,0.0,0.0,10.0,0.0,0.0,0.8915559999999999,0.0,20.0,1,0.0,1,0.089156,896.3634279999999
156000,60.291304000000004,0.0,48.954196,50.118464,0.0,0.0,10.0,0.0,0.0,0.890217,0.0,20.0,1,0.0,1,0.089022,896.3643199999999
157000,60.37969399999999,0.0,48.954314000000004,50.207421999999994,0.0,0.0,10.0,0.0,0.0,0.8889540000000001,0.0,20.0,1,0.0,1,0.088895,896.3652099999999
158000,60.467994,0.0,48.954426,50.296257000000004,0.0,0.0,10.0,0.0,0.0,0.8877639999999999,0.0,20.0,1,0.0,1,0.088776,896.3660990000001
159000,60.556208999999996,0.0,48.95453,50.384977,0.0,0.0,10.0,0.0,0.0,0.8866430000000001,0.0,20.0,1,0.0,1,0.08866399999999999,896.3669869999999
160000,60.644344999999994,0.0,48.954629,50.473588,0.0,0.0,10.0,0.0,0.0,0.8855860000000001,0.0,20.0,1,0.0,1,0.088559,896.367874
161000,60.732406000000005,0.0,48.954722,50.562096000000004,0.0,0.0,10.0,0.0,0.0,0.88459,0.0,20.0,1,0.0,1,0.08845900000000001,896.368759
162000,60.820395999999995,0.0,48.954809000000004,50.650508,0.0,0.0,10.0,0.0,0.0,0.883652,0.0,20.0,1,0.0,1,0.088365,896.369644
163000,60.908319999999996,0.0,48.954892,50.738828000000005,0.0,0.0,10.0,0.0,0.0,0.882768,0.0,20.0,1,0.0,1,0.088277,896.3705269999999
164000,60.99618100000001,0.0,48.954969,50.827063,0.0,0.0,10.0,0.0,0.0,0.881934,0.0,20.0,1,0.0,1,0.088193,896.37141
165000,61.083982999999996,0.0,48.955042999999996,50.915217,0.0,0.0,10.0,0.0,0.0,0.881149,0.0,20.0,1,0.0,1,0.088115,896.372292
166000,61.171729000000006,0.0,48.955110999999995,51.003294,0.0,0.0,10.0,0.0,0.0,0.880409,0.0,20.0,1,0.0,1,0.088041,896.3731730000001
167000,61.259423,0.0,48.955176,51.0913,0.0,0.0,10.0,0.0,0.0,0.879712,0.0,20.0,1,0.0,1,0.08797100000000001,896.3740539999999
168000,61.347067,0.0,48.955237,51.179238,0.0,0.0,10.0,0.0,0.0,0.879056,0.0,20.0,1,0.0,1,0.087906,896.374933
169000,61.434664,0.0,48.955295,51.267112,0.0,0.0,10.0,0.0,0.0,0.8784370000000001,0.0,20.0,1,0.0,1,0.087844,896.3758119999999
170000,61.522218,0.0,48.955349,51.354926,0.0,0.0,10.0,0.0,0.0,0.8778540000000001,0.0,20.0,1,0.0,1,0.087785,896.376691
171000,61.609730000000006,0.0,48.9554,51.442684,0.0,0.0,10.0,0.0,0.0,0.8773049999999999,0.0,20.0,1,0.0,1,0.08772999999999999,896.377569
172000,61.697203,0.0,48.955448,51.530388,0.0,0.0,10.0,0.0,0.0,0.8767870000000001,0.0,20.0,1,0.0,1,0.08767899999999999,896.378446
173000,61.784639,0.0,48.955493,51.618041999999996,0.0,0.0,10.0,0.0,0.0,0.8763,0.0,20.0,1,0.0,1,0.08763,896.379323
174000,61.872040000000005,0.0,48.955535999999995,51.705649,0.0,0.0,10.0,0.0,0.0,0.87584,0.0,20.0,1,0.0,1,0.08758400000000001,896.3801990000001
