Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrely,F_vinc,Tension,Lift,Liftx,Liftz,Drag,Dragx,Dragz,Stability
16928, 1.69, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00,  -13.00, 0.00, 980.96, 676.40, -603.89, 591.37, -122.32, 60.39, 12.23, 59.14, 0
15062, 1.51, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00,  -15.00, 0.00, 980.95, 868.55, -776.46, 760.32, -157.49, 77.65, 15.75, 76.03, 0
13562, 1.36, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00,  -17.00, 0.00, 980.91, 1083.65, -969.61, 949.49, -196.52, 96.96, 19.65, 94.95, 0
12329, 1.23, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00,  -19.00, 0.00, 980.87, 1321.99, -1183.58, 1159.09, -239.54, 118.36, 23.95, 115.91, 0
11303, 1.13, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00,  -21.00, 0.00, 980.83, 1581.53, -1416.61, 1387.33, -286.51, 141.66, 28.65, 138.73, 0
10450, 1.05, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00,  -23.00, 0.00, 980.99, 1851.80, -1659.48, 1624.88, -337.07, 165.95, 33.71, 162.49, 0
9709, 0.97, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00,  -25.00, 0.00, 980.75, 2143.84, -1921.90, 1881.63, -391.37, 192.19, 39.14, 188.16, 0
9062, 0.91, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00,  -27.00, 0.00, 980.82, 2459.20, -2205.27, 2158.83, -450.15, 220.53, 45.01, 215.88, 0
8492, 0.85, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00,  -29.00, 0.00, 980.55, 2796.58, -2508.42, 2455.45, -512.77, 250.84, 51.28, 245.55, 0
7987, 0.80, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00,  -31.00, 0.00, 980.21, 3156.62, -2831.92, 2771.99, -579.53, 283.19, 57.95, 277.20, 0
7538, 0.75, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00,  -33.00, 0.00, 980.93, 3541.64, -3177.88, 3110.37, -651.55, 317.79, 65.15, 311.04, 0
7134, 0.71, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00,  -35.00, 0.00, 980.02, 3946.17, -3541.35, 3466.10, -726.16, 354.14, 72.62, 346.61, 0
6771, 0.68, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00,  -37.00, 0.00, 980.25, 4375.98, -3927.53, 3843.90, -806.16, 392.75, 80.62, 384.39, 0
6442, 0.64, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00,  -39.00, 0.00, 979.93, 4827.55, -4333.26, 4240.92, -889.83, 433.33, 88.98, 424.09, 0
30793, 3.08, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 981.00, -103.06, 118.70, -118.63, 4.26, 2.37, 0.09, 2.37, 0
29086, 2.91, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00,  -3.00, 0.00, 981.00, -130.88, 151.46, -150.77, 14.43, 3.03, 0.29, 3.02, 0
33447, 3.34, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00,  -5.00, 0.00, 981.00, -115.69, 135.24, -133.31, 22.74, 2.70, 0.45, 2.67, 0
64411, 6.44, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00,  -7.00, 0.00, 981.00, -9.41, 15.00, -10.60, 10.61, 0.30, 0.21, 0.21, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.73, 0.00, 0.00, 9.00, 0.00, 2.38, 0.37,  -6.62, 0.37, 983.98, -3.02, 6.74, 0.38, 6.73, 0.13, 0.13, -0.01, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.97, 0.00, 0.00, 11.00, 0.00, 5.27, 2.22,  -5.73, 2.22, 984.97, -4.31, 5.78, 2.08, 5.39, 0.12, 0.11, -0.04, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.76, 0.00, 0.00, 13.00, 0.00, -5.78, -1.11,  -18.78, -1.11, 937.16, 44.64, 54.19, -3.21, 54.10, 1.08, 1.08, 0.06, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.60, 0.00, 0.00, 15.00, 0.00, 4.37, 0.14,  -10.63, 0.14, 973.17, 7.84, 17.29, 0.23, 17.29, 0.35, 0.35, -0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.52, 0.00, 0.00, 17.00, 0.00, 3.64, -0.17,  -13.36, -0.17, 963.23, 17.79, 27.34, -0.35, 27.33, 0.55, 0.55, 0.01, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.53, 0.00, -0.00, 19.00, 0.00, 2.84, -0.12,  -16.16, -0.12, 950.67, 30.36, 40.01, -0.30, 40.01, 0.80, 0.80, 0.01, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.55, 0.00, 0.00, 21.00, 0.00, 2.34, -0.05,  -18.66, -0.05, 937.38, 43.63, 53.32, -0.15, 53.32, 1.07, 1.07, 0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.56, 0.00, -0.00, 23.00, 0.00, 1.59, -0.01,  -21.41, -0.01, 920.59, 60.41, 70.17, -0.03, 70.17, 1.40, 1.40, 0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.57, 0.00, -0.00, 25.00, 0.00, 0.46, -0.00,  -24.54, -0.00, 898.62, 82.38, 92.18, -0.00, 92.18, 1.84, 1.84, 0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.56, 0.00, 0.00, 27.00, 0.00, -0.56, 0.00,  -27.56, 0.00, 874.48, 106.52, 116.31, 0.02, 116.31, 2.33, 2.33, -0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.55, 0.00, -0.00, 29.00, 0.00, -0.86, 0.02,  -29.86, 0.02, 854.27, 126.76, 136.52, 0.08, 136.52, 2.73, 2.73, -0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.54, 0.00, -0.00, 31.00, 0.00, -0.39, 0.01,  -31.39, 0.01, 839.94, 141.11, 150.89, 0.05, 150.89, 3.02, 3.02, -0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.54, 0.00, 0.00, 33.00, 0.00, 0.21, -0.01,  -32.79, -0.01, 826.16, 154.90, 164.67, -0.03, 164.67, 3.29, 3.29, 0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.55, 0.00, -0.00, 35.00, 0.00, 0.37, -0.01,  -34.63, -0.01, 807.22, 173.82, 183.59, -0.04, 183.59, 3.67, 3.67, 0.00, 1
1000000, 100.00, 100.00, -4.00, 0.79, 1.55, 0.00, 0.00, 37.00, 0.00, 0.11, -0.00,  -36.89, -0.00, 782.45, 198.59, 208.35, -0.01, 208.35, 4.17, 4.17, 0.00, 1
