Iter,TotTime,m_block,Alpha,mu,Theta0,Theta_fin,V_theta_fin,V_block_finx,V_block_finy,Wind_x,Wind_y,Windz,Vkitex,Vkitey,Vkitez,Vrelx,Vrely,Vrelz,F_vinc,Tension,Lift,Liftx,Lifty,Liftz,Drag,Dragx,Dragy,Dragz
42318, 4.23, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 1.00,  0.00, 0.00, 0.00, 0.00, 0.00, -1.00, 0.00, 0.00, 1064.82, -83.82, -88.07, -87.84, -0.00, 6.36, 2.94, 0.21, -0.00, 2.93
62472, 6.25, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 3.00,  0.00, 0.00, 0.00, 0.00, 0.00, -3.00, 0.00, 0.00, 999.77, -18.77, -22.04, -19.86, -0.00, 9.54, 0.73, 0.32, -0.00, 0.66
814666, 81.47, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 5.00,  0.00, 0.00, 0.00, 0.00, 0.00, -5.00, 0.00, 0.00, 980.62, 0.38, -11.48, -0.00, -0.00, 11.48, 0.38, 0.38, -0.00, 0.00
621512, 62.15, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 7.00,  0.00, 0.00, 0.00, 0.00, 0.00, -7.00, 0.00, 0.00, 980.25, 0.75, -22.51, -0.00, -0.00, -22.51, 0.75, 0.75, -0.00, -0.00
497492, 49.75, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 9.00,  0.00, 0.00, 0.00, 0.00, 0.00, -9.00, 0.00, 0.00, 979.77, 1.23, -37.21, -0.01, -0.00, -37.21, 1.24, 1.24, -0.00, -0.00
416256, 41.63, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 11.00,  0.00, 0.00, 0.00, 0.00, 0.00, -11.00, 0.00, 0.00, 979.15, 1.85, -55.58, -0.00, -0.00, -55.58, 1.85, 1.85, -0.00, -0.00
358685, 35.87, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 13.00,  0.00, 0.00, 0.00, 0.00, 0.00, -13.00, 0.00, 0.00, 978.41, 2.59, -77.63, -0.00, -0.00, -77.63, 2.59, 2.59, -0.00, -0.00
315633, 31.56, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 15.00,  0.00, 0.00, 0.00, 0.00, 0.00, -15.00, 0.00, 0.00, 977.57, 3.43, -103.36, -0.01, -0.00, -103.36, 3.45, 3.45, -0.00, -0.00
282207, 28.22, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 17.00,  0.00, 0.00, 0.00, 0.00, 0.00, -17.00, 0.00, 0.00, 976.58, 4.42, -132.76, -0.01, -0.00, -132.76, 4.43, 4.43, -0.00, -0.00
255371, 25.54, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 19.00,  0.00, 0.00, 0.00, 0.00, 0.00, -19.00, 0.00, 0.00, 975.47, 5.53, -165.83, -0.00, -0.00, -165.83, 5.53, 5.53, -0.00, -0.00
233464, 23.35, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 21.00,  0.00, 0.00, 0.00, 0.00, 0.00, -21.00, 0.00, 0.00, 974.26, 6.74, -202.58, -0.01, -0.00, -202.58, 6.75, 6.75, -0.00, -0.00
215123, 21.51, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 23.00,  0.00, 0.00, 0.00, 0.00, 0.00, -23.00, 0.00, 0.00, 972.91, 8.09, -243.01, -0.01, -0.00, -243.01, 8.10, 8.10, -0.00, -0.00
199707, 19.97, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 25.00,  0.00, 0.00, 0.00, 0.00, 0.00, -25.00, 0.00, 0.00, 971.46, 9.54, -287.11, -0.03, -0.00, -287.11, 9.57, 9.57, -0.00, -0.00
186141, 18.61, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 27.00,  0.00, 0.00, 0.00, 0.00, 0.00, -27.00, 0.00, 0.00, 969.85, 11.15, -334.88, -0.02, -0.00, -334.88, 11.16, 11.16, -0.00, -0.00
174697, 17.47, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 29.00,  0.00, 0.00, 0.00, 0.00, 0.00, -29.00, 0.00, 0.00, 968.14, 12.86, -386.33, -0.01, -0.00, -386.33, 12.88, 12.88, -0.00, -0.00
159341, 15.93, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 31.00,  0.00, 0.00, 0.00, 0.00, 0.00, -31.00, 0.00, 0.00, 966.31, 14.69, -441.46, -0.03, -0.00, -441.46, 14.72, 14.72, -0.00, -0.00
156771, 15.68, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 33.00,  0.00, 0.00, 0.00, 0.00, 0.00, -33.00, 0.00, 0.00, 964.34, 16.66, -500.26, -0.01, -0.00, -500.26, 16.68, 16.68, -0.00, -0.00
147239, 14.72, 100.00, -8.00, 0.00, 0.79, 1.57, 0.00, 0.00, 0.00, 35.00,  0.00, 0.00, 0.00, 0.00, 0.00, -35.00, 0.00, 0.00, 962.25, 18.75, -562.73, -0.01, -0.00, -562.73, 18.76, 18.76, -0.00, -0.00
