t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
72000       51.781909       6.950354      2.267340      0.000000      3.472966      0.507598     2.809600
73000       51.808601       6.959077      2.295257      0.000000      3.477293      0.509374     2.773801
74000       51.835056       6.966917      2.322815      0.000000      3.481178      0.510962     2.737783
75000       51.861275       6.973864      2.350011      0.000000      3.484617      0.512361     2.701585
76000       51.887255       6.979930      2.376846      0.000000      3.487616      0.513571     2.665305
77000       51.912993       6.985124      2.403317      0.000000      3.490180      0.514594     2.628902
78000       51.938487       6.989460      2.429423      0.000000      3.492315      0.515431     2.592373
79000       51.963735       6.992952      2.455164      0.000000      3.494029      0.516086     2.555766
80000       51.988732       6.995616      2.480537      0.000000      3.495329      0.516562     2.518973
81000       52.013476       6.997471      2.505543      0.000000      3.496225      0.516863     2.482144
82000       52.037961       6.998535      2.530179      0.000000      3.496727      0.516992     2.445056
83000       52.062185       6.998830      2.554444      0.000000      3.496844      0.516954     2.407978
84000       52.086141       6.998377      2.578336      0.000000      3.496588      0.516754     2.370558
85000       52.109826       6.997200      2.601855      0.000000      3.495971      0.516397     2.333203
86000       52.133234       6.995325      2.624998      0.000000      3.495005      0.515889     2.295419
87000       52.156360       6.992774      2.647764      0.000000      3.493702      0.515236     2.257765
88000       52.179199       6.989576      2.670151      0.000000      3.492075      0.514443     2.219591
89000       52.201744       6.985757      2.692157      0.000000      3.490139      0.513518     2.181624
90000       52.223990       6.981344      2.713780      0.000000      3.487907      0.512466     2.143049
91000       52.245930       6.976366      2.735019      0.000000      3.485392      0.511295     2.104763
92000       52.267560       6.970850      2.755872      0.000000      3.482609      0.510010     2.065785
93000       52.288872       6.964826      2.776337      0.000000      3.479573      0.508619     2.027185
94000       52.309862       6.958323      2.796412      0.000000      3.476298      0.507129     1.987816
95000       52.330522       6.951370      2.816095      0.000000      3.472798      0.505547     1.948918
96000       52.350847       6.943996      2.835386      0.000000      3.469088      0.503879     1.909179
97000       52.370831       6.936230      2.854282      0.000000      3.465183      0.502132     1.870005
98000       52.390479       6.928058      2.872785      0.000000      3.461076      0.500304     1.830687
99000       52.409773       6.919555      2.890890      0.000000      3.456804      0.498411     1.790436
100000       52.428710       6.910748      2.908597      0.000000      3.452380      0.496461     1.750890
101000       52.447282       6.901668      2.925903      0.000000      3.447821      0.494458     1.710363
102000       52.465486       6.892343      2.942808      0.000000      3.443139      0.492411     1.670629
103000       52.483315       6.882801      2.959310      0.000000      3.438350      0.490326     1.629875
104000       52.500766       6.873071      2.975410      0.000000      3.433467      0.488208     1.589996
105000       52.517832       6.863181      2.991105      0.000000      3.428505      0.486065     1.549069
106000       52.534511       6.853158      3.006395      0.000000      3.423477      0.483902     1.509093
107000       52.550797       6.843031      3.021281      0.000000      3.418397      0.481725     1.468050
108000       52.566686       6.832826      3.035761      0.000000      3.413279      0.479540     1.428024
109000       52.582174       6.822571      3.049836      0.000000      3.408137      0.477353     1.386923
110000       52.597258       6.812291      3.063505      0.000000      3.402982      0.475169     1.346898
111000       52.611933       6.802014      3.076768      0.000000      3.397830      0.472993     1.305799
112000       52.626197       6.791765      3.089626      0.000000      3.392692      0.470832     1.265825
113000       52.640063       6.781495      3.102084      0.000000      3.387544      0.468675     1.225862
114000       52.653509       6.771308      3.114137      0.000000      3.382438      0.466543     1.184838
115000       52.666535       6.761225      3.125786      0.000000      3.377385      0.464440     1.145002
116000       52.679138       6.751274      3.137031      0.000000      3.372398      0.462371     1.104132
117000       52.691315       6.741477      3.147874      0.000000      3.367489      0.460342     1.064474
118000       52.703063       6.731860      3.158315      0.000000      3.362670      0.458356     1.023815
119000       52.714382       6.722446      3.168356      0.000000      3.357954      0.456419     0.984385
120000       52.725269       6.713261      3.177998      0.000000      3.353352      0.454534     0.943997
121000       52.735723       6.704327      3.187242      0.000000      3.348876      0.452706     0.904844
122000       52.745741       6.695669      3.196089      0.000000      3.344538      0.450940     0.864785
123000       52.755324       6.687309      3.204543      0.000000      3.340350      0.449240     0.825959
124000       52.764468       6.679274      3.212604      0.000000      3.336325      0.447609     0.786289
125000       52.773175       6.671584      3.220274      0.000000      3.332473      0.446053     0.747841
126000       52.781441       6.664266      3.227556      0.000000      3.328807      0.444575     0.708619
127000       52.789268       6.657342      3.234451      0.000000      3.325339      0.443179     0.670601
128000       52.796653       6.650838      3.240963      0.000000      3.322081      0.441871     0.631889
129000       52.803597       6.644777      3.247094      0.000000      3.319044      0.440653     0.594356
130000       52.810099       6.639185      3.252847      0.000000      3.316243      0.439531     0.556219
131000       52.816159       6.634085      3.258224      0.000000      3.313688      0.438509     0.519228
132000       52.821776       6.629504      3.263228      0.000000      3.311393      0.437591     0.481737
133000       52.826951       6.625467      3.267863      0.000000      3.309370      0.436782     0.445352
134000       52.831683       6.622002      3.272132      0.000000      3.307633      0.436088     0.408582
135000       52.835973       6.619134      3.276039      0.000000      3.306196      0.435511     0.372871
136000       52.839820       6.616893      3.279587      0.000000      3.305071      0.435058     0.336907
137000       52.843226       6.615304      3.282781      0.000000      3.304274      0.434734     0.301948
138000       52.846191       6.614400      3.285624      0.000000      3.303818      0.434545     0.266885
139000       52.848714       6.614208      3.288122      0.000000      3.303719      0.434495     0.232765
140000       52.850797       6.614761      3.290279      0.000000      3.303993      0.434592     0.198712
141000       52.852440       6.616089      3.292100      0.000000      3.304655      0.434841     0.165534
142000       52.853645       6.618228      3.293590      0.000000      3.305722      0.435248     0.132616
143000       52.854411       6.621210      3.294755      0.000000      3.307211      0.435822     0.100497
144000       52.854741       6.625073      3.295601      0.000000      3.309140      0.436568     0.068862
145000       52.854636       6.629851      3.296134      0.000000      3.311527      0.437496     0.037941
146000       52.854096       6.635587      3.296362      0.000000      3.314393      0.438613     0.007762
147000       52.853203       6.642325      3.296372      0.000000      3.317761      0.439929     0.000014
148000       52.852159       6.650113      3.296372      0.000000      3.321653      0.441453     -0.000000
149000       52.850946       6.659143      3.296372      0.000000      3.326165      0.443224     -0.000000
150000       52.849588       6.669242      3.296372      0.000000      3.331213      0.445211     -0.000000
151000       52.848081       6.680427      3.296372      0.000000      3.336802      0.447417     -0.000000
152000       52.846386       6.692990      3.296372      0.000000      3.343081      0.449905     -0.000000
153000       52.844497       6.706960      3.296372      0.000000      3.350062      0.452681     -0.000000
154000       52.842449       6.722074      3.296372      0.000000      3.357615      0.455697     -0.000000
155000       52.840237       6.738357      3.296372      0.000000      3.365753      0.458961     -0.000000
156000       52.837856       6.755834      3.296372      0.000000      3.374487      0.462482     -0.000000
157000       52.835303       6.774536      3.296372      0.000000      3.383833      0.466268     -0.000000
158000       52.832570       6.794491      3.296372      0.000000      3.393806      0.470330     -0.000000
159000       52.829651       6.815736      3.296372      0.000000      3.404423      0.474680     -0.000000
160000       52.826540       6.838305      3.296372      0.000000      3.415702      0.479330     -0.000000
161000       52.823230       6.862239      3.296372      0.000000      3.427663      0.484292     -0.000000
162000       52.819713       6.887578      3.296372      0.000000      3.440327      0.489583     -0.000000
163000       52.815979       6.914369      3.296372      0.000000      3.453716      0.495217     -0.000000
164000       52.812021       6.942658      3.296372      0.000000      3.467854      0.501211     -0.000000
165000       52.807828       6.972498      3.296372      0.000000      3.482768      0.507585     -0.000000
166000       52.803390       7.003941      3.296372      0.000000      3.498482      0.514358     -0.000000
167000       52.798695       7.037047      3.296372      0.000000      3.515028      0.521552     0.000051
168000       52.793732       7.071873      3.296372      0.000000      3.532433      0.529190     0.000000
169000       52.788502       7.108489      3.296388      0.000000      3.550734      0.537298     0.003751
170000       52.783006       7.146957      3.296432      0.000000      3.569959      0.545901     0.005450
171000       52.777257       7.187352      3.296533      0.000000      3.590149      0.555031     0.015483
172000       52.771272       7.229738      3.296724      0.000000      3.611333      0.564716     0.022998
173000       52.765068       7.274190      3.297036      0.000000      3.633550      0.574988     0.040247
174000       52.758667       7.320768      3.297507      0.000000      3.656830      0.585880     0.054408
175000       52.752090       7.369546      3.298174      0.000000      3.681209      0.597427     0.079883
176000       52.745363       7.420579      3.299079      0.000000      3.706715      0.609662     0.101576
177000       52.738511       7.473935      3.300264      0.000000      3.733383      0.622624     0.136341
178000       52.731566       7.529661      3.301775      0.000000      3.761234      0.636347     0.166482
179000       52.724558       7.587815      3.303661      0.000000      3.790300      0.650873     0.211620
180000       52.717523       7.648435      3.305971      0.000000      3.820597      0.666237     0.251112
181000       52.710498       7.711566      3.308759      0.000000      3.852150      0.682481     0.307665
182000       52.703525       7.777229      3.312081      0.000000      3.884968      0.699640     0.357346
183000       52.696645       7.845455      3.315993      0.000000      3.919066      0.717757     0.426241
184000       52.689908       7.916246      3.320555      0.000000      3.954446      0.736865     0.486811
185000       52.683360       7.989610      3.325826      0.000000      3.991113      0.757004     0.568772
186000       52.677055       8.065529      3.331871      0.000000      4.029055      0.778206     0.640710
187000       52.671045       8.143986      3.338748      0.000000      4.068267      0.800507     0.736158
188000       52.665389       8.224937      3.346524      0.000000      4.108724      0.823934     0.819640
189000       52.660142       8.308341      3.355259      0.000000      4.150407      0.848517     0.928594
190000       52.655367       8.394125      3.365016      0.000000      4.193278      0.874276     1.023414
191000       52.651121       8.482222      3.375854      0.000000      4.237305      0.901234     1.145409
192000       52.647469       8.572530      3.387833      0.000000      4.282437      0.929403     1.250921
193000       52.644469       8.664957      3.401007      0.000000      4.328627      0.958794     1.384961
194000       52.642185       8.759377      3.415430      0.000000      4.375812      0.989410     1.500061
195000       52.640671       8.855671      3.431149      0.000000      4.423934      1.021253     1.644613
196000       52.639991       8.953696      3.448210      0.000000      4.472919      1.054312     1.767758
197000       52.640194       9.053311      3.466648      0.000000      4.522698      1.088579     1.920807
198000       52.641337       9.154359      3.486503      0.000000      4.573193      1.124032     2.050087
199000       52.643463       9.256687      3.507796      0.000000      4.624326      1.160649     2.209241
200000       52.646623       9.360129      3.530556      0.000000      4.676015      1.198401     2.342490
201000       52.650849       9.464525      3.554792      0.000000      4.728179      1.237253     2.505130
202000       52.656183       9.569711      3.580520      0.000000      4.780737      1.277167     2.640066
203000       52.662647       9.675526      3.607737      0.000000      4.833608      1.318101     2.803517
204000       52.670274       9.781814      3.636447      0.000000      4.886714      1.360009     2.937889
205000       52.679073       9.888421      3.666635      0.000000      4.939979      1.402841     3.099586
206000       52.689168       9.995807      3.698518      0.000000      4.993631      1.446798     3.276798
207000       52.700595       10.103760      3.732095      0.000000      5.047564      1.491807     3.438280
208000       52.713276       10.211517      3.767133      0.000000      5.101398      1.537559     3.568336
209000       52.727196       10.318956      3.803591      0.000000      5.155072      1.583997     3.722805
210000       52.742352       10.425968      3.841440      0.000000      5.208531      1.631065     3.846113
211000       52.758722       10.532452      3.880634      0.000000      5.261724      1.678710     3.992109
212000       52.776293       10.638321      3.921138      0.000000      5.314608      1.726880     4.107607
213000       52.795034       10.743497      3.962900      0.000000      5.367145      1.775524     4.244098
214000       52.814925       10.847916      4.005882      0.000000      5.419302      1.824597     4.351118
215000       52.835930       10.951521      4.050028      0.000000      5.471050      1.874053     4.477512
216000       52.858023       11.054269      4.095300      0.000000      5.522369      1.923854     4.575735
217000       52.881131       11.155756      4.141526      0.000000      5.573056      1.973776     4.668546
218000       52.905237       11.256346      4.188765      0.000000      5.623293      2.023978     4.778472
219000       52.930310       11.356022      4.236976      0.000000      5.673073      2.074428     4.862762
220000       52.956306       11.454771      4.286107      0.000000      5.722388      2.125100     4.962838
221000       52.983193       11.552590      4.336120      0.000000      5.771237      2.175971     5.038860
222000       53.010928       11.649477      4.386966      0.000000      5.819619      2.227018     5.129486
223000       53.039476       11.745441      4.438605      0.000000      5.867539      2.278226     5.197653
224000       53.068795       11.840492      4.490994      0.000000      5.915001      2.329577     5.279363
225000       53.098850       11.934646      4.544095      0.000000      5.962014      2.381062     5.340184
226000       53.129601       12.027920      4.597867      0.000000      6.008587      2.432670     5.413598
227000       53.161012       12.120339      4.652277      0.000000      6.054732      2.484395     5.467631
228000       53.193044       12.211927      4.707285      0.000000      6.100460      2.536233     5.533417
229000       53.225665       12.302712      4.762862      0.000000      6.145787      2.588180     5.581248
230000       53.258835       12.392723      4.818971      0.000000      6.190726      2.640237     5.640089
231000       53.292524       12.481992      4.875586      0.000000      6.235294      2.692405     5.682305
232000       53.326694       12.570552      4.932674      0.000000      6.279507      2.744689     5.734881
233000       53.361318       12.658437      4.990211      0.000000      6.323383      2.797094     5.772059
234000       53.396359       12.745683      5.048168      0.000000      6.366938      2.849628     5.819030
235000       53.431791       12.832326      5.106525      0.000000      6.410192      2.902298     5.851723
236000       53.467581       12.918403      5.165253      0.000000      6.453164      2.955115     5.893723
237000       53.503703       13.003951      5.224336      0.000000      6.495870      3.008091     5.922462
238000       53.540126       13.089011      5.283751      0.000000      6.538333      3.061239     5.960090
239000       53.576827       13.173618      5.343480      0.000000      6.580569      3.114572     5.985374
240000       53.613776       13.257814      5.403504      0.000000      6.622600      3.168109     6.019199
241000       53.650952       13.341636      5.463809      0.000000      6.664445      3.221863     6.041500
242000       53.688327       13.425127      5.524378      0.000000      6.706123      3.275855     6.072057
243000       53.725880       13.508324      5.585199      0.000000      6.747656      3.330103     6.091821
244000       53.763586       13.591271      5.646257      0.000000      6.789063      3.384629     6.119616
245000       53.801425       13.674005      5.707542      0.000000      6.830365      3.439454     6.137262
246000       53.839374       13.756571      5.769043      0.000000      6.871583      3.494602     6.162774
247000       53.877415       13.839008      5.830751      0.000000      6.912738      3.550097     6.178705
248000       53.915524       13.921361      5.892657      0.000000      6.953851      3.605966     6.202392
249000       53.953684       14.003671      5.954755      0.000000      6.994942      3.662235     6.216991
250000       53.991875       14.085982      6.017037      0.000000      7.036036      3.718934     6.239293
251000       54.030080       14.168337      6.079499      0.000000      7.077152      3.776092     6.252933
252000       54.068278       14.250783      6.142135      0.000000      7.118314      3.833744     6.274280
253000       54.106453       14.333364      6.204943      0.000000      7.159545      3.891919     6.287325
254000       54.144588       14.416127      6.267920      0.000000      7.200868      3.950657     6.308138
255000       54.182665       14.499119      6.331066      0.000000      7.242306      4.009992     6.320951
256000       54.220668       14.582390      6.394379      0.000000      7.283885      4.069964     6.341652
257000       54.258581       14.665986      6.457860      0.000000      7.325628      4.130613     6.354597
258000       54.296385       14.749962      6.521511      0.000000      7.367561      4.191984     6.375614
259000       54.334068       14.834366      6.585335      0.000000      7.409710      4.254120     6.389062
260000       54.371611       14.919255      6.649333      0.000000      7.452103      4.317071     6.410834
261000       54.409002       15.004679      6.713513      0.000000      7.494765      4.380882     6.425170
262000       54.446221       15.090698      6.777879      0.000000      7.537725      4.445611     6.448154
263000       54.483212       15.177641      6.842481      0.000000      7.581150      4.511530     6.472481
