t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
72000       51.857129       7.220825      2.381280      0.000000      3.608039      0.567432     3.054681
73000       51.885940       7.231485      2.411648      0.000000      3.613329      0.569769     3.018951
74000       51.914525       7.241223      2.441656      0.000000      3.618159      0.571897     2.982813
75000       51.942880       7.250045      2.471304      0.000000      3.622532      0.573816     2.946756
76000       51.971005       7.257971      2.500591      0.000000      3.626457      0.575530     2.910562
77000       51.998895       7.265009      2.529515      0.000000      3.629938      0.577040     2.874243
78000       52.026550       7.271171      2.558075      0.000000      3.632982      0.578347     2.837804
79000       52.053967       7.276468      2.586270      0.000000      3.635594      0.579453     2.801245
80000       52.081141       7.280914      2.614099      0.000000      3.637781      0.580361     2.764564
81000       52.108074       7.284504      2.641560      0.000000      3.639541      0.581070     2.727718
82000       52.134761       7.287256      2.668653      0.000000      3.640882      0.581582     2.690764
83000       52.161195       7.289211      2.695375      0.000000      3.641825      0.581908     2.653666
84000       52.187372       7.290391      2.721725      0.000000      3.642381      0.582053     2.616413
85000       52.213286       7.290817      2.747702      0.000000      3.642561      0.582020     2.578996
86000       52.238933       7.290514      2.773304      0.000000      3.642377      0.581817     2.541407
87000       52.264306       7.289507      2.798529      0.000000      3.641841      0.581450     2.503638
88000       52.289401       7.287822      2.823376      0.000000      3.640967      0.580925     2.465683
89000       52.314211       7.285486      2.847842      0.000000      3.639768      0.580247     2.427537
90000       52.338731       7.282527      2.871925      0.000000      3.638258      0.579426     2.389196
91000       52.362953       7.278973      2.895625      0.000000      3.636451      0.578467     2.350659
92000       52.386872       7.274853      2.918938      0.000000      3.634362      0.577378     2.311925
93000       52.410481       7.270198      2.941862      0.000000      3.632006      0.576167     2.272997
94000       52.433773       7.265036      2.964396      0.000000      3.629397      0.574840     2.233876
95000       52.456743       7.259398      2.986539      0.000000      3.626551      0.573406     2.194568
96000       52.479384       7.253315      3.008287      0.000000      3.623483      0.571872     2.155078
97000       52.501688       7.246817      3.029639      0.000000      3.620208      0.570246     2.115414
98000       52.523651       7.239934      3.050594      0.000000      3.616741      0.568536     2.075584
99000       52.545265       7.232697      3.071150      0.000000      3.613097      0.566749     2.035597
100000       52.566525       7.225137      3.091305      0.000000      3.609293      0.564892     1.995464
101000       52.587425       7.217284      3.111058      0.000000      3.605343      0.562974     1.955196
102000       52.607958       7.209168      3.130408      0.000000      3.601262      0.561002     1.914806
103000       52.628119       7.200820      3.149354      0.000000      3.597066      0.558983     1.874306
104000       52.647902       7.192270      3.167894      0.000000      3.592769      0.556924     1.833711
105000       52.667303       7.183547      3.186027      0.000000      3.588386      0.554832     1.793033
106000       52.686316       7.174682      3.203754      0.000000      3.583933      0.552715     1.752287
107000       52.704936       7.165702      3.221072      0.000000      3.579423      0.550580     1.711489
108000       52.723158       7.156637      3.237983      0.000000      3.574871      0.548432     1.670653
109000       52.740978       7.147515      3.254485      0.000000      3.570291      0.546279     1.629794
110000       52.758392       7.138366      3.270578      0.000000      3.565698      0.544128     1.588928
111000       52.775396       7.129216      3.286263      0.000000      3.561106      0.541984     1.548071
