Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Liftz,Liftz,Drag,Dragx,Dragz,Stability
42318, 4.23, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -83.82, -88.07, 2.94, 0
62472, 6.25, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -18.77, -22.04, 0.73, 0
814666, 81.47, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, 0.38, -11.48, 0.38, 0
621512, 62.15, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.40, 0.75, -22.51, 0.75, 0
497492, 49.75, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 392.40, 1.23, -37.21, 1.24, 0
416256, 41.63, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 392.40, 1.85, -55.58, 1.85, 0
358685, 35.87, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 392.40, 2.59, -77.63, 2.59, 0
315633, 31.56, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 392.40, 3.43, -103.36, 3.45, 0
282207, 28.22, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 392.40, 4.42, -132.76, 4.43, 0
255371, 25.54, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00, -19.00, 0.00, 392.40, 5.53, -165.83, 5.53, 0
233464, 23.35, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 21.00, 0.00, 0.00, 0.00, -21.00, 0.00, 392.40, 6.74, -202.58, 6.75, 0
215123, 21.51, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 23.00, 0.00, 0.00, 0.00, -23.00, 0.00, 392.40, 8.09, -243.01, 8.10, 0
199707, 19.97, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, 392.40, 9.54, -287.11, 9.57, 0
186141, 18.61, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 27.00, 0.00, 0.00, 0.00, -27.00, 0.00, 392.40, 11.15, -334.88, 11.16, 0
174697, 17.47, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 29.00, 0.00, 0.00, 0.00, -29.00, 0.00, 392.40, 12.86, -386.33, 12.88, 0
159341, 15.93, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, 392.40, 14.69, -441.46, 14.72, 0
156771, 15.68, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, 392.40, 16.66, -500.26, 16.68, 0
147123, 14.71, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, 392.40, 18.74, -562.73, 18.76, 0
139929, 13.99, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 37.00, 0.00, 0.00, 0.00, -37.00, 0.00, 392.40, 20.93, -628.88, 20.96, 0
133225, 13.32, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, 392.40, 23.25, -698.71, 23.29, 0
127138, 12.71, 40.00, -8.00, 0.79, 0.00, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, 392.40, 25.70, -772.21, 25.74, 0
37030, 3.70, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -43.22, -50.10, 5.01, 0
40976, 4.10, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -26.03, -31.29, 3.13, 0
45710, 4.57, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00, -5.00, 0.00, 392.40, -15.05, -20.06, 2.01, 0
55445, 5.54, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 0.00, -7.00, 0.00, 392.40, -6.93, -13.19, 1.32, 0
492342, 49.23, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 392.40, 1.24, -12.40, 1.24, 0
417330, 41.73, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 392.40, 1.85, -18.53, 1.85, 0
359734, 35.97, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 392.40, 2.58, -25.88, 2.59, 0
316675, 31.67, 40.00, -6.00, 0.79, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 392.40, 3.44, -34.45, 3.45, 0
