Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
15097, 1.51, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 22.00, 0.00, -22.00, 0.00, 980.74, 3328.13, -2908.95, 290.89, 0
14125, 1.41, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 24.00, 0.00, -24.00, 0.00, 980.58, 3773.41, -3304.55, 330.45, 0
13259, 1.33, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, 980.91, 4253.03, -3730.60, 373.06, 0
12483, 1.25, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, 980.56, 4765.45, -4185.81, 418.58, 0
11787, 1.18, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 30.00, 0.00, -30.00, 0.00, 980.84, 5312.91, -4672.07, 467.21, 0
11159, 1.12, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, 980.72, 5894.22, -5188.43, 518.84, 0
10591, 1.06, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, 980.82, 6510.22, -5735.55, 573.56, 0
10074, 1.01, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 36.00, 0.00, -36.00, 0.00, 979.97, 7162.65, -6315.22, 631.52, 0
9602, 0.96, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 38.00, 0.00, -38.00, 0.00, 979.79, 7867.95, -6942.37, 694.24, 0
9170, 0.92, 100.00, -6.00, 0.79, 0.00, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, 980.21, 8619.94, -7611.30, 761.13, 0
32339, 3.23, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.01, -370.87, 502.01, 10.04, 0
34310, 3.43, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, -284.27, 386.71, 7.73, 0
36590, 3.66, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 981.01, -219.34, 302.59, 6.05, 0
39902, 3.99, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 6.00, 0.00, -6.00, 0.00, 981.00, -168.25, 239.42, 4.79, 0
45780, 4.58, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 8.00, 0.00, -8.00, 0.00, 981.00, -124.57, 189.53, 3.79, 0
60478, 6.05, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 10.00, 0.00, -10.00, 0.00, 981.00, -80.84, 146.50, 2.93, 0
433076, 43.31, 100.00, -4.00, 0.79, 0.00, 0.00, 0.00, 12.00, 0.00, -12.00, 0.00, 981.00, -33.19, 122.48, 2.45, 0
1000000, 100.00, 100.00, -4.00, 0.79, 2.36, 0.11, -0.00, 14.00, 0.00, -17.76, -3.81, 867.35, 161.85, 252.70, 5.05, 0
1000000, 100.00, 100.00, -4.00, 0.79, 2.04, -0.07, 0.00, 16.00, 0.00, -12.95, 1.53, 961.39, 21.93, 130.17, 2.60, 0
