episode,alpha_idx,action_0,action_1,action_2
19999,0,0,2875,2532
19999,1,2553,2724,4261
19999,2,4314,6101,16137
19999,3,16225,14693,8430
19999,4,8554,10710,9609
19999,5,9778,11427,9015
19999,6,9217,12937,11144
19999,7,11390,18948,21623
19999,8,21929,48086,165737
19999,9,166224,444363,629994
19999,10,631083,1105613,1321112
19999,11,1303721,1702803,3326187
19999,12,3311933,6293957,3130806
19999,13,3123002,2255042,1916360
19999,14,1912116,1641153,1689589
19999,15,1688043,1394253,0

