step,alpha,action,reward,Q[s+0],Q[s+1],Q[s+2]
92000,14.000000,2,0.198891,353.740578,353.847713,354.113884
93000,16.000000,0,0.198515,354.146680,353.954718,353.949908
94000,14.000000,2,0.198138,353.740578,353.847713,354.113907
95000,16.000000,0,0.197761,354.146697,353.954718,353.949908
96000,14.000000,2,0.197384,353.740578,353.847713,354.113930
97000,16.000000,1,0.197006,354.146713,353.954718,353.949908
98000,16.000000,0,0.196628,354.146713,353.954757,353.949908
99000,14.000000,2,0.196249,353.740578,353.847713,354.113934
100000,16.000000,0,0.195868,354.146730,353.954757,353.949908
101000,14.000000,2,0.195486,353.740578,353.847713,354.113957
102000,16.000000,0,0.195101,354.146746,353.954757,353.949908
103000,14.000000,2,0.194717,353.740578,353.847713,354.113980
104000,16.000000,0,0.194327,354.146762,353.954757,353.949908
105000,14.000000,2,0.193938,353.740578,353.847713,354.114003
106000,16.000000,0,0.193543,354.146778,353.954757,353.949908
107000,14.000000,2,0.193150,353.740578,353.847713,354.114025
108000,16.000000,0,0.192748,354.146795,353.954757,353.949908
109000,14.000000,0,0.192349,353.740578,353.847713,354.114048
110000,12.000000,2,0.191950,352.912359,352.931333,353.842832
111000,14.000000,2,0.191546,353.740608,353.847713,354.114048
112000,16.000000,0,0.191129,354.146773,353.954757,353.949908
113000,14.000000,2,0.190719,353.740608,353.847713,354.114070
114000,16.000000,0,0.190296,354.146789,353.954757,353.949908
115000,14.000000,2,0.189880,353.740608,353.847713,354.114093
116000,16.000000,0,0.189448,354.146805,353.954757,353.949908
117000,14.000000,2,0.189027,353.740608,353.847713,354.114115
118000,16.000000,0,0.188589,354.146820,353.954757,353.949908
119000,14.000000,2,0.188162,353.740608,353.847713,354.114137
120000,16.000000,0,0.187717,354.146836,353.954757,353.949908
121000,14.000000,2,0.187285,353.740608,353.847713,354.114159
122000,16.000000,0,0.186833,354.146852,353.954757,353.949908
123000,14.000000,2,0.186397,353.740608,353.847713,354.114181
124000,16.000000,0,0.185940,354.146867,353.954757,353.949908
125000,14.000000,2,0.185499,353.740608,353.847713,354.114203
126000,16.000000,0,0.185038,354.146882,353.954757,353.949908
127000,14.000000,2,0.184594,353.740608,353.847713,354.114225
128000,16.000000,0,0.184128,354.146898,353.954757,353.949908
129000,14.000000,2,0.183682,353.740608,353.847713,354.114247
130000,16.000000,0,0.183213,354.146913,353.954757,353.949908
131000,14.000000,2,0.182765,353.740608,353.847713,354.114268
132000,16.000000,0,0.182294,354.146928,353.954757,353.949908
133000,14.000000,2,0.181844,353.740608,353.847713,354.114290
134000,16.000000,0,0.181373,354.146943,353.954757,353.949908
135000,14.000000,2,0.180922,353.740608,353.847713,354.114311
136000,16.000000,0,0.180450,354.146958,353.954757,353.949908
137000,14.000000,2,0.180000,353.740608,353.847713,354.114333
138000,16.000000,0,0.179529,354.146972,353.954757,353.949908
139000,14.000000,2,0.179080,353.740608,353.847713,354.114354
140000,16.000000,0,0.178610,354.146987,353.954757,353.949908
141000,14.000000,2,0.178163,353.740608,353.847713,354.114375
142000,16.000000,0,0.177696,354.147002,353.954757,353.949908
143000,14.000000,2,0.177250,353.740608,353.847713,354.114396
144000,16.000000,0,0.176787,354.147016,353.954757,353.949908
145000,14.000000,2,0.176344,353.740608,353.847713,354.114417
146000,16.000000,0,0.175884,354.147031,353.954757,353.949908
147000,14.000000,2,0.175445,353.740608,353.847713,354.114438
148000,16.000000,0,0.174990,354.147045,353.954757,353.949908
149000,14.000000,2,0.174554,353.740608,353.847713,354.114459
150000,16.000000,0,0.174105,354.147059,353.954757,353.949908
151000,14.000000,2,0.173674,353.740608,353.847713,354.114479
152000,16.000000,0,0.173230,354.147073,353.954757,353.949908
153000,14.000000,2,0.172804,353.740608,353.847713,354.114500
154000,16.000000,0,0.172367,354.147087,353.954757,353.949908
155000,14.000000,2,0.171946,353.740608,353.847713,354.114521
156000,16.000000,0,0.171517,354.147101,353.954757,353.949908
157000,14.000000,2,0.171102,353.740608,353.847713,354.114541
158000,16.000000,0,0.170680,354.147115,353.954757,353.949908
159000,14.000000,2,0.170271,353.740608,353.847713,354.114561
160000,16.000000,0,0.169858,354.147129,353.954757,353.949908
161000,14.000000,2,0.169456,353.740608,353.847713,354.114582
