episode,epsilon,Alpha,steps,return
152,0.900000,0.010000,2000001,358.589036
153,0.900000,0.010000,2000001,361.833507
154,0.900000,0.010000,2000001,362.447482
155,0.900000,0.010000,2000001,362.855783
156,0.900000,0.010000,2000001,363.033496
157,0.900000,0.010000,2000001,364.347449
158,0.900000,0.010000,2000001,361.799853
159,0.900000,0.010000,2000001,363.215685
160,0.900000,0.010000,2000001,363.137941
161,0.900000,0.010000,2000001,362.475752
162,0.900000,0.010000,2000001,363.153948
163,0.900000,0.010000,2000001,356.625391
164,0.900000,0.010000,2000001,350.119945
165,0.900000,0.010000,2000001,358.070667
166,0.900000,0.010000,2000001,356.520960
167,0.900000,0.010000,2000001,363.235380
168,0.900000,0.010000,2000001,363.127428
169,0.900000,0.010000,2000001,362.831978
170,0.900000,0.010000,2000001,362.779161
171,0.900000,0.010000,2000001,363.222310
172,0.900000,0.010000,2000001,360.274704
173,0.900000,0.010000,2000001,358.640033
174,0.900000,0.010000,2000001,357.321079
175,0.900000,0.010000,2000001,360.320020
176,0.900000,0.010000,2000001,357.504955
177,0.900000,0.010000,2000001,357.389244
178,0.900000,0.010000,2000001,357.132899
179,0.900000,0.010000,2000001,357.172609
180,0.900000,0.010000,2000001,357.097810
181,0.900000,0.010000,484327,101.693782
182,0.900000,0.010000,2000001,358.404596
183,0.900000,0.010000,2000001,357.077494
184,0.900000,0.010000,2000001,357.102260
185,0.900000,0.010000,2000001,357.395586
186,0.900000,0.010000,2000001,357.422043
187,0.900000,0.010000,2000001,356.474758
188,0.900000,0.010000,2000001,356.267719
189,0.900000,0.010000,587261,125.429970
190,0.900000,0.010000,528735,111.753650
191,0.900000,0.010000,2000001,358.526207
192,0.900000,0.010000,2000001,356.531986
193,0.900000,0.010000,2000001,357.315707
194,0.900000,0.010000,2000001,357.138044
195,0.900000,0.010000,2000001,357.263244
196,0.900000,0.010000,2000001,357.107791
197,0.900000,0.010000,2000001,357.707560
198,0.900000,0.010000,2000001,357.164996
199,0.900000,0.010000,2000001,360.370648
