episode,epsilon,Alpha,steps,return
152,0.900000,0.010000,2000001,358.578293
153,0.900000,0.010000,2000001,361.775798
154,0.900000,0.010000,2000001,362.436581
155,0.900000,0.010000,2000001,362.844303
156,0.900000,0.010000,2000001,363.021517
157,0.900000,0.010000,2000001,364.335662
158,0.900000,0.010000,2000001,361.788746
159,0.900000,0.010000,2000001,363.203909
160,0.900000,0.010000,2000001,363.126063
161,0.900000,0.010000,2000001,362.464281
162,0.900000,0.010000,2000001,363.142089
163,0.900000,0.010000,2000001,356.614266
164,0.900000,0.010000,2000001,350.109234
165,0.900000,0.010000,2000001,358.059376
166,0.900000,0.010000,2000001,356.509866
167,0.900000,0.010000,2000001,363.223521
168,0.900000,0.010000,2000001,363.115606
169,0.900000,0.010000,2000001,362.820524
170,0.900000,0.010000,2000001,362.767800
171,0.900000,0.010000,2000001,363.210449
172,0.900000,0.010000,2000001,360.262779
173,0.900000,0.010000,2000001,358.629392
174,0.900000,0.010000,2000001,357.309213
175,0.900000,0.010000,2000001,360.308051
176,0.900000,0.010000,2000001,357.495660
177,0.900000,0.010000,2000001,357.376005
178,0.900000,0.010000,2000001,357.119568
179,0.900000,0.010000,2000001,357.163310
180,0.900000,0.010000,2000001,357.088934
181,0.900000,0.010000,484327,101.691587
182,0.900000,0.010000,2000001,358.394646
183,0.900000,0.010000,2000001,357.064207
184,0.900000,0.010000,2000001,357.091430
185,0.900000,0.010000,2000001,357.382850
186,0.900000,0.010000,2000001,357.412438
187,0.900000,0.010000,2000001,356.463834
188,0.900000,0.010000,2000001,356.261254
189,0.900000,0.010000,587262,125.427299
190,0.900000,0.010000,528735,111.751258
191,0.900000,0.010000,2000001,358.515406
192,0.900000,0.010000,2000001,356.526477
193,0.900000,0.010000,2000001,357.306259
194,0.900000,0.010000,2000001,357.126450
195,0.900000,0.010000,2000001,357.252549
196,0.900000,0.010000,2000001,357.094391
197,0.900000,0.010000,2000001,357.695587
198,0.900000,0.010000,2000001,357.152971
199,0.900000,0.010000,2000001,360.358772
200,0.900000,0.010000,2000001,362.709179
201,0.900000,0.010000,2000001,363.200783
202,0.900000,0.010000,2000001,363.590766
203,0.900000,0.010000,2000001,363.080327
204,0.900000,0.010000,2000001,362.443674
205,0.900000,0.010000,2000001,363.006831
206,0.900000,0.010000,2000001,360.273166
207,0.900000,0.010000,2000001,360.314154
208,0.900000,0.010000,2000001,358.654725
209,0.900000,0.010000,2000001,362.694283
210,0.900000,0.010000,2000001,360.377201
211,0.900000,0.010000,2000001,362.987212
212,0.900000,0.010000,2000001,362.438923
213,0.900000,0.010000,2000001,356.884622
214,0.900000,0.010000,2000001,362.988121
215,0.900000,0.010000,2000001,363.671102
216,0.900000,0.010000,2000001,363.218863
217,0.900000,0.010000,2000001,362.632317
218,0.900000,0.010000,2000001,360.300930
219,0.900000,0.010000,2000001,357.183278
220,0.900000,0.010000,2000001,358.709028
221,0.900000,0.010000,2000001,357.182380
222,0.900000,0.010000,2000001,357.311469
223,0.900000,0.010000,2000001,358.541909
224,0.900000,0.010000,2000001,357.217937
225,0.900000,0.010000,2000001,357.104313
226,0.900000,0.010000,2000001,355.983249
227,0.900000,0.010000,554471,118.016065
228,0.900000,0.010000,702961,153.255857
229,0.900000,0.010000,622733,134.078690
230,0.900000,0.010000,584573,124.289600
231,0.900000,0.010000,2000001,357.172438
232,0.900000,0.010000,2000001,358.376290
233,0.900000,0.010000,487832,102.384012
234,0.900000,0.010000,570503,121.588953
235,0.900000,0.010000,489126,102.549643
236,0.900000,0.010000,2000001,356.956877
237,0.900000,0.010000,2000001,360.715796
238,0.900000,0.010000,2000001,358.729031
239,0.900000,0.010000,2000001,357.287613
240,0.900000,0.010000,2000001,363.468712
241,0.900000,0.010000,2000001,363.121321
242,0.900000,0.010000,2000001,362.452364
243,0.900000,0.010000,2000001,356.818845
244,0.900000,0.010000,2000001,356.656094
245,0.900000,0.010000,2000001,356.616531
246,0.900000,0.010000,2000001,363.114338
247,0.900000,0.010000,2000001,363.602888
248,0.900000,0.010000,2000001,363.685476
249,0.900000,0.010000,2000001,362.612919
250,0.900000,0.010000,2000001,363.095282
251,0.900000,0.010000,2000001,363.233837
252,0.900000,0.010000,2000001,360.347094
253,0.900000,0.010000,2000001,362.773835
254,0.900000,0.010000,2000001,363.400113
255,0.900000,0.010000,2000001,363.681983
256,0.900000,0.010000,2000001,357.468299
257,0.900000,0.010000,2000001,363.168413
258,0.900000,0.010000,2000001,363.232592
259,0.900000,0.010000,2000001,363.625304
260,0.900000,0.010000,2000001,363.644257
261,0.900000,0.010000,2000001,363.130003
262,0.900000,0.010000,2000001,362.480158
263,0.900000,0.010000,2000001,356.710086
264,0.900000,0.010000,2000001,363.073586
265,0.900000,0.010000,2000001,362.542783
266,0.900000,0.010000,2000001,349.999410
267,0.900000,0.010000,2000001,356.795518
268,0.900000,0.010000,2000001,350.047708
269,0.900000,0.010000,2000001,356.697897
270,0.900000,0.010000,2000001,349.759191
271,0.900000,0.010000,2000001,363.094972
272,0.900000,0.010000,2000001,363.560535
273,0.900000,0.010000,2000001,363.191836
274,0.900000,0.010000,2000001,363.059952
275,0.900000,0.010000,2000001,356.626272
276,0.900000,0.010000,2000001,355.119580
277,0.900000,0.010000,2000001,349.986469
278,0.900000,0.010000,2000001,356.839499
279,0.900000,0.010000,2000001,363.106688
280,0.900000,0.010000,2000001,363.664693
281,0.900000,0.010000,2000001,363.227706
282,0.900000,0.010000,2000001,360.317029
283,0.900000,0.010000,2000001,362.772773
284,0.900000,0.010000,2000001,363.263826
285,0.900000,0.010000,2000001,360.259640
286,0.900000,0.010000,2000001,358.907431
287,0.900000,0.010000,2000001,356.986598
288,0.900000,0.010000,2000001,359.200178
289,0.900000,0.010000,2000001,357.457892
290,0.900000,0.010000,2000001,357.433591
291,0.900000,0.010000,2000001,358.600817
