step,alpha,action,reward,Q[s+0],Q[s+1],Q[s+2]
92000,19.000000,1,0.195360,352.693859,352.869460,352.683050
93000,19.000000,1,0.194981,352.693859,352.869479,352.683050
94000,19.000000,1,0.194600,352.693859,352.869499,352.683050
95000,19.000000,1,0.194217,352.693859,352.869518,352.683050
96000,19.000000,1,0.193832,352.693859,352.869538,352.683050
97000,19.000000,1,0.193444,352.693859,352.869557,352.683050
98000,19.000000,1,0.193053,352.693859,352.869577,352.683050
99000,19.000000,1,0.192660,352.693859,352.869596,352.683050
100000,19.000000,1,0.192263,352.693859,352.869615,352.683050
101000,19.000000,1,0.191863,352.693859,352.869634,352.683050
102000,19.000000,1,0.191461,352.693859,352.869654,352.683050
103000,19.000000,1,0.191054,352.693859,352.869673,352.683050
104000,19.000000,1,0.190645,352.693859,352.869692,352.683050
105000,19.000000,1,0.190232,352.693859,352.869711,352.683050
106000,19.000000,1,0.189816,352.693859,352.869730,352.683050
107000,19.000000,1,0.189396,352.693859,352.869749,352.683050
108000,19.000000,1,0.188974,352.693859,352.869768,352.683050
109000,19.000000,1,0.188548,352.693859,352.869787,352.683050
110000,19.000000,1,0.188119,352.693859,352.869806,352.683050
111000,19.000000,1,0.187687,352.693859,352.869824,352.683050
112000,19.000000,1,0.187253,352.693859,352.869843,352.683050
113000,19.000000,1,0.186816,352.693859,352.869862,352.683050
114000,19.000000,1,0.186376,352.693859,352.869881,352.683050
115000,19.000000,1,0.185934,352.693859,352.869899,352.683050
116000,19.000000,1,0.185490,352.693859,352.869918,352.683050
117000,19.000000,0,0.185045,352.693859,352.869919,352.683050
118000,18.000000,2,0.184592,352.682935,352.676497,352.702967
119000,19.000000,1,0.184144,352.693878,352.869919,352.683050
120000,19.000000,1,0.183694,352.693878,352.869937,352.683050
121000,19.000000,1,0.183244,352.693878,352.869956,352.683050
122000,19.000000,1,0.182793,352.693878,352.869974,352.683050
123000,19.000000,1,0.182341,352.693878,352.869992,352.683050
124000,19.000000,1,0.181889,352.693878,352.870010,352.683050
125000,19.000000,1,0.181437,352.693878,352.870029,352.683050
126000,19.000000,1,0.180985,352.693878,352.870047,352.683050
127000,19.000000,1,0.180534,352.693878,352.870065,352.683050
128000,19.000000,1,0.180083,352.693878,352.870083,352.683050
129000,19.000000,1,0.179633,352.693878,352.870101,352.683050
130000,19.000000,1,0.179184,352.693878,352.870119,352.683050
131000,19.000000,1,0.178737,352.693878,352.870137,352.683050
132000,19.000000,1,0.178290,352.693878,352.870155,352.683050
133000,19.000000,1,0.177846,352.693878,352.870172,352.683050
134000,19.000000,1,0.177403,352.693878,352.870190,352.683050
135000,19.000000,1,0.176962,352.693878,352.870208,352.683050
136000,19.000000,1,0.176523,352.693878,352.870226,352.683050
137000,19.000000,1,0.176087,352.693878,352.870243,352.683050
138000,19.000000,1,0.175653,352.693878,352.870261,352.683050
139000,19.000000,1,0.175221,352.693878,352.870278,352.683050
140000,19.000000,1,0.174793,352.693878,352.870296,352.683050
141000,19.000000,1,0.174367,352.693878,352.870313,352.683050
142000,19.000000,1,0.173945,352.693878,352.870331,352.683050
143000,19.000000,1,0.173526,352.693878,352.870348,352.683050
144000,19.000000,1,0.173110,352.693878,352.870366,352.683050
145000,19.000000,1,0.172698,352.693878,352.870383,352.683050
146000,19.000000,1,0.172290,352.693878,352.870400,352.683050
147000,19.000000,1,0.171886,352.693878,352.870417,352.683050
148000,19.000000,1,0.171485,352.693878,352.870435,352.683050
149000,19.000000,1,0.171089,352.693878,352.870452,352.683050
