t,x_kite,z_kite,x_block,z_block,theta,vtheta,windx,windy,v_block,Tension
50000,59.526919,10.219614,10.582465,0.000000,0.205842,0.105743,20.000000,0.000000,21.252130,-477.815358
51000,59.726923,10.278544,10.794812,0.000000,0.207046,0.102147,20.000000,0.000000,21.217231,-586.527768
52000,59.926928,10.335569,11.006830,0.000000,0.208211,0.098961,20.000000,0.000000,21.186413,-417.037992
53000,60.126933,10.390738,11.218523,0.000000,0.209339,0.095555,20.000000,0.000000,21.152291,525.124755
54000,60.326938,10.444089,11.429893,0.000000,0.210430,0.092503,20.000000,0.000000,21.121753,384.915635
55000,60.526943,10.495665,11.640942,0.000000,0.211485,0.089259,20.000000,0.000000,21.088264,-445.140113
56000,60.726947,10.545502,11.851674,0.000000,0.212505,0.086330,20.000000,0.000000,21.058023,337.208049
57000,60.926952,10.593638,12.062089,0.000000,0.213490,0.083235,20.000000,0.000000,21.025194,402.115919
58000,61.126957,10.640104,12.272191,0.000000,0.214441,0.080410,20.000000,0.000000,20.995152,294.531136
59000,61.326962,10.684935,12.481981,0.000000,0.215359,0.077445,20.000000,0.000000,20.962874,-331.947923
60000,61.526966,10.728157,12.691460,0.000000,0.216244,0.074717,20.000000,0.000000,20.933087,256.317880
61000,61.726971,10.769848,12.900642,0.000000,0.217097,0.072029,20.000000,0.000000,20.903346,-214.748415
62000,61.926976,10.809987,13.109518,0.000000,0.217920,0.069234,20.000000,0.000000,20.871852,-262.593390
63000,62.126981,10.848598,13.318089,0.000000,0.218711,0.066628,20.000000,0.000000,20.842346,206.817011
64000,62.326985,10.885744,13.526365,0.000000,0.219472,0.064057,20.000000,0.000000,20.812864,-166.939068
65000,62.526990,10.921410,13.734339,0.000000,0.220203,0.061405,20.000000,0.000000,20.782007,-203.619068
66000,62.726995,10.955615,13.942012,0.000000,0.220904,0.058902,20.000000,0.000000,20.752720,-138.974609
67000,62.927000,10.988381,14.149387,0.000000,0.221576,0.056332,20.000000,0.000000,20.722275,192.089755
68000,63.127004,11.019726,14.356464,0.000000,0.222218,0.053891,20.000000,0.000000,20.693105,140.310126
69000,63.327009,11.049670,14.563244,0.000000,0.222832,0.051393,20.000000,0.000000,20.662969,-138.416508
70000,63.527014,11.078199,14.769722,0.000000,0.223417,0.048908,20.000000,0.000000,20.632708,-134.845306
71000,63.727019,11.105334,14.975900,0.000000,0.223974,0.046477,20.000000,0.000000,20.602895,-110.610358
72000,63.927023,11.131113,15.181784,0.000000,0.224503,0.044137,20.000000,0.000000,20.574018,98.866196
73000,64.127028,11.155553,15.387377,0.000000,0.225004,0.041763,20.000000,0.000000,20.544476,112.071772
74000,64.327024,11.178678,15.592671,0.000000,0.225479,0.039512,20.000000,0.000000,20.514388,82.113872
75000,64.527014,11.200498,15.797671,0.000000,0.225927,0.037176,20.000000,0.000000,20.485444,91.811381
76000,64.726983,11.221044,16.002368,0.000000,0.226348,0.035025,20.000000,0.000000,20.453754,67.645562
77000,64.926918,11.240349,16.206752,0.000000,0.226745,0.032812,20.000000,0.000000,20.422912,74.788917
78000,65.126805,11.258438,16.410816,0.000000,0.227116,0.030748,20.000000,0.000000,20.389877,55.517548
79000,65.326633,11.275341,16.614553,0.000000,0.227463,0.028642,20.000000,0.000000,20.357446,60.548706
80000,65.526391,11.291079,16.817957,0.000000,0.227786,0.026652,20.000000,0.000000,20.323287,45.407155
81000,65.726069,11.305678,17.021021,0.000000,0.228086,0.024637,20.000000,0.000000,20.289533,48.717111
82000,65.925658,11.319155,17.223741,0.000000,0.228363,0.022710,20.000000,0.000000,20.254442,37.051000
83000,66.125151,11.331532,17.426112,0.000000,0.228617,0.020770,20.000000,0.000000,20.219597,38.991099
84000,66.324539,11.342824,17.628129,0.000000,0.228849,0.018894,20.000000,0.000000,20.183743,30.236860
85000,66.523815,11.353046,17.829788,0.000000,0.229059,0.017015,20.000000,0.000000,20.148012,31.128850
86000,66.722975,11.362211,18.031085,0.000000,0.229247,0.015179,20.000000,0.000000,20.111545,24.797112
87000,66.922013,11.370332,18.232019,0.000000,0.229414,0.013347,20.000000,0.000000,20.075112,24.942354
88000,67.120924,11.377417,18.432585,0.000000,0.229559,0.011541,20.000000,0.000000,20.038166,20.603671
89000,67.319705,11.383476,18.632782,0.000000,0.229684,0.009742,20.000000,0.000000,20.001198,20.291986
90000,67.518352,11.388514,18.832607,0.000000,0.229787,0.007956,20.000000,0.000000,19.963899,17.564476
91000,67.716863,11.392537,19.032060,0.000000,0.229870,0.006177,20.000000,0.000000,19.926551,17.082891
92000,67.915236,11.395548,19.231137,0.000000,0.229932,0.004401,20.000000,0.000000,19.889016,15.619834
93000,68.113470,11.397549,19.429839,0.000000,0.229973,0.002631,20.000000,0.000000,19.851437,15.250272
94000,68.311563,11.398541,19.628165,0.000000,0.229993,0.000859,20.000000,0.000000,19.813778,14.684360
95000,68.509516,11.398526,19.826115,0.000000,0.229993,-0.000907,20.000000,0.000000,19.776096,14.466363
96000,68.707327,11.397506,20.023687,0.000000,0.229972,-0.002671,20.000000,0.000000,19.738377,14.120773
97000,68.904995,11.395484,20.220882,0.000000,0.229930,-0.004420,20.000000,0.000000,19.700603,13.430245
98000,69.102517,11.392470,20.417698,0.000000,0.229868,-0.006155,20.000000,0.000000,19.662748,12.529570
99000,69.299891,11.388470,20.614136,0.000000,0.229786,-0.007886,20.000000,0.000000,19.624839,12.023617
100000,69.497113,11.383492,20.810194,0.000000,0.229684,-0.009582,20.000000,0.000000,19.586730,9.876233
101000,69.694179,11.377549,21.005870,0.000000,0.229562,-0.011279,20.000000,0.000000,19.548581,9.551680
102000,69.891083,11.370654,21.201164,0.000000,0.229420,-0.012923,20.000000,0.000000,19.510103,6.145725
103000,70.087820,11.362820,21.396072,0.000000,0.229260,-0.014577,20.000000,0.000000,19.471627,6.288557
104000,70.284384,11.354065,21.590594,0.000000,0.229080,-0.016158,20.000000,0.000000,19.432672,1.454898
105000,70.480768,11.344405,21.784726,0.000000,0.228881,-0.017759,20.000000,0.000000,19.393793,2.336849
106000,70.676964,11.333859,21.978466,0.000000,0.228665,-0.019265,20.000000,0.000000,19.354272,-4.047797
107000,70.872964,11.322447,22.171812,0.000000,0.228431,-0.020806,20.000000,0.000000,19.314927,-2.181675
108000,71.068761,11.310191,22.364761,0.000000,0.228179,-0.022228,20.000000,0.000000,19.274765,-10.194077
109000,71.264345,11.297112,22.557309,0.000000,0.227910,-0.023701,20.000000,0.000000,19.234905,-7.132782
110000,71.459720,11.283192,22.749459,0.000000,0.227625,-0.025180,20.000000,0.000000,19.194980,-7.706989
111000,71.654879,11.268455,22.941206,0.000000,0.227322,-0.026577,20.000000,0.000000,19.154537,-12.694316
112000,71.849796,11.252971,23.132544,0.000000,0.227004,-0.027801,20.000000,0.000000,19.112906,-24.116592
113000,72.044460,11.236766,23.323468,0.000000,0.226672,-0.029118,20.000000,0.000000,19.071892,-18.103783
114000,72.238861,11.219869,23.513975,0.000000,0.226325,-0.030232,20.000000,0.000000,19.029514,-31.115273
115000,72.432989,11.202306,23.704062,0.000000,0.225965,-0.031464,20.000000,0.000000,18.987925,-23.514257
116000,72.626833,11.184108,23.893726,0.000000,0.225591,-0.032463,20.000000,0.000000,18.944805,-38.018406
117000,72.820382,11.165303,24.082963,0.000000,0.225205,-0.033605,20.000000,0.000000,18.902654,-28.791048
118000,73.013625,11.145924,24.271771,0.000000,0.224808,-0.034483,20.000000,0.000000,18.858815,-44.657835
119000,73.206552,11.125998,24.460145,0.000000,0.224399,-0.035532,20.000000,0.000000,18.816125,-33.809782
